cluster	count	casing patterns
a	225547	
n	155576	
i	133208	
u	103493	
t	66416	
k	61850	
d	52304	
o	45496	
r	33242	
c	31364	
h	30095	
ñ	28767	
m	27482	
v	27154	
y	26666	
e	26254	
j	21309	
à	16067	only_lower
s	11205	
ù	8859	only_lower
ì	7633	
ā	7451	only_lower
ī	3451	only_lower
g	2753	
l	2693	
ü	2335	only_lower
x	2135	
ö	2017	only_lower
í	1934	only_lower
p	1922	
ū	1905	only_lower
á	1388	only_lower
i̱	1347	only_lower
ē	1154	only_lower
u̱	654	only_lower
b	633	
é	631	
ï	539	only_lower
ú	536	only_lower
è	447	only_lower
ä	438	only_lower
ó	405	only_lower
f	340	
ō	222	only_lower
z	173	
ò	123	only_lower
q	87	
ë	9	only_lower
