cluster	count	casing patterns
a	150754	
n	106135	
ɔ	88875	only_lower
ɛ	58261	
i	58168	
g	56895	
u	50502	
k	47189	
ɓ	41749	
r	32537	
t	28754	
e	21959	
s	21079	
z	20052	
y	18362	
l	16387	
p	14887	
w	12923	
d	12671	
o	11298	
b	11005	
m	10018	
h	9645	
v	8268	
ã	5647	only_lower
j	4501	
ĩ	3093	
ɔ̃	2402	
ɛ̃	2135	only_lower
à	1957	
ɔ̀	1613	only_lower
á	1608	
ɛ̀	1236	only_lower
ɛ́	1213	only_lower
ɔ́	1194	only_lower
ũ	1106	only_lower
f	770	
ì	434	only_lower
í	405	only_lower
ò	366	only_lower
ù	290	only_lower
è	278	only_lower
é	237	only_lower
ú	206	only_lower
ã̀	118	only_lower
ũ̀	61	only_lower
ń	46	
ɛ̃̀	42	only_lower
ǎ	41	only_lower
m̀	33	only_lower
ã́	32	only_lower
ó	27	only_lower
ɔ̃̀	24	only_lower
ĩ̀	15	only_lower
ǹ	15	
ɔ̃́	13	only_lower
ṹ	11	only_lower
ɔ̌	11	only_lower
ǐ	8	only_lower
ň	8	only_lower
ɔ̃̌	6	only_lower
ĩ́	5	only_lower
ǒ	5	only_lower
ɛ̃́	4	only_lower
m̌	2	only_lower
î	1	only_lower
ɗ	1	only_upper
