cluster	count	casing patterns
ه	11990	
ا	11845	
ی	8151	
ن	6867	
و	6860	
ر	6160	
د	4111	
م	3997	
ب	3521	
ت	3070	
ک	2856	
س	2167	
ش	2077	
ل	1495	
رِ	1288	
ز	1118	
ع	1064	
دِ	954	
ج	942	
بَ	869	
وِ	793	
ق	651	
گ	647	
خ	631	
پ	600	
ح	565	
ف	552	
سّ	508	
چ	496	
یِ	464	
تِ	448	
ی‌	441	
نِ	394	
ئ	390	
هِ	320	
مِ	317	
خِ	297	
شِ	297	
دَ	282	
هَ	278	
نَ	269	
بِ	251	
کِ	251	
آ	230	
اِ	225	
ص	218	
سِ	215	
اَ	213	
گِ	203	
تّ	190	
ه‌	182	
ط	176	
لِ	141	
پَ	136	
غ	133	
پِ	131	
نّ	129	
زِ	128	
خَ	116	
ۀ	106	
یَ	98	
جِ	95	
سَ	90	
ض	90	
وَ	90	
مَ	81	
ظ	76	
مّ	65	
عِ	60	
ث	58	
حِ	57	
کَ	57	
فِ	56	
فَ	55	
ذ	54	
گَ	54	
قِ	41	
شَ	37	
تَ	34	
حَ	28	
سِّ	28	
طَ	27	
ثِ	26	
رُ	26	
زَ	26	
رَ	24	
ت‌	21	
وّ	15	
چَ	15	
تُ	14	
عَ	14	
اً	13	
چ‌	13	
لَ	12	
چِ	12	
ر‌	11	
ظِ	11	
یّ	11	
ن‌	10	
قَ	9	
مُ	9	
ئِ	9	
بُ	8	
زّ	8	
وِّ	8	
ؤ	8	
بِّ	7	
جَ	7	
صِ	6	
وُ	6	
أ	5	
دّ	5	
ض‌	5	
غِ	5	
کُ	5	
د‌	4	
ذِ	4	
رّ	4	
قّ	4	
لّ	4	
و‌	4	
صَ	3	
م‌	3	
نِّ	3	
پُ	3	
گُ	3	
ء	2	
اُ	2	
جّ	2	
ح‌	2	
دِّ	2	
دْ	2	
سُ	2	
سْ	2	
س‌	2	
صْ	2	
طِ	2	
عُ	2	
قِّ	2	
ق‌	2	
ل‌	2	
نُ	2	
نْ	2	
ئَ	2	
ِ	2	
ژ	2	
کّ	2	
یُ	2	
یْ	2	
ا‌	1	
ب‌	1	
جُ	1	
ج‌	1	
حْ	1	
خُ	1	
دَ‌	1	
شُ	1	
ش‌	1	
ط‌	1	
ع‌	1	
غَ	1	
فّ	1	
ف‌	1	
قُ	1	
مَّ	1	
مِّ	1	
