cluster	count	casing patterns
a	42041	
i	18609	
o	18492	
k	16163	
s	15626	
n	12948	
e	11900	
v	10879	
t	10092	
m	9427	
r	8493	
ĩ	8379	only_lower
ã	7539	
á	6635	only_lower
h	6362	
õ	5156	
y	4189	
ẽ	4120	
w	3629	
p	3600	
í	2872	only_lower
é	1704	
c	1668	
ó	1166	only_lower
u	904	
j	839	
x	790	only_lower
l	626	
b	516	
d	446	
g	251	
f	208	
q	191	
0	129	
z	120	
1	81	
7	68	
3	66	
ú	49	only_lower
5	45	
2	41	
4	39	
6	22	
9	19	
8	18	
â	7	only_lower
ô	4	only_lower
ũ	2	only_lower
ê	1	only_lower
