cluster	count
າ	111113
ເ	57601
ນ	45743
ອ	38115
ຍ	32227
ງ	28693
ກ	27724
ະ	26572
ແ	24723
ຕ	21377
ຣ	20834
ຮ	17657
ດ	15094
ໄ	14296
ໂ	12545
ມ	12232
ວ	11276
ອ໌	10541
ອັ	9547
ລ	9403
ຊ	9265
ອຶ	8848
ກັ	8737
ປ	8603
ລ່	7773
ຍື	6694
ບີ	6505
ນ່	6245
ອີ	5749
ກົ	5535
ຢ	5524
ຈົ	5290
ຢື	4875
ຊີ	4711
ຊູ	4261
ມັ	4179
ຍ່	4162
ບ	4161
ຕຶ່	3813
ປັ	3589
ຕີ	3569
ຈ	3255
ຈີ່	3011
ຊັ	2836
ຕ່	2778
ຄ	2653
ຳ	2443
ກູ	2359
ລັ່	2271
ກີ	2051
ຕີ່	1998
ມ່	1971
ອໍ	1940
ລື່	1857
ປໍ	1778
ມຶ່	1676
ງຶ່	1631
ມູ່	1609
ມື	1608
ຣີ	1591
ນົ່	1581
ດັ	1535
ດີ	1535
ນັ່	1456
ນໍ່	1445
ຮີ	1359
ຈີ	1277
ຢໍ	1276
ຈ່	1243
ຕົ່	1242
ຕັ	1224
ຽ	1205
ຄັ	1202
ຮິ	1133
ຍ໌	1030
ຊົ	985
ຣີ່	912
ຕຸ	883
ບັ	872
ອິ	872
ຣ່	823
ປູ່	818
ດຸ	777
ມົ່	773
ຈຸ່	763
ທ	756
ກູ່	749
ລີ	710
ດໍ	705
ລື	702
ພ	652
ໆ	650
ວັ	636
ຣັ່	602
ຢັ່	601
ມູ	582
ຢ່	577
ປື່	544
ອຶ່	544
ກັ່	520
ພໍ	512
ບິ	511
ຣື	501
ຈິ	496
ຕຸ່	492
ປ່	455
ວື	454
ປໍ່	453
ຄຶ່	442
ງັ	421
ລັ	403
ມົ	386
ກີ່	379
ຕິ່	377
ຕື	359
ກຼຶ່	349
ວ໌	343
ຣໍ່	342
ຣັ	324
ປັ່	322
ມັ່	317
ນີ	316
ຮັ	311
ຈິ່	301
ປຶ່	276
ລົ	276
ອົ	268
ຢົ່	260
ຕູ່	258
ງ່	236
ກ່	234
ປິ່	227
ຕົ	225
ກື	220
ຣູ	208
ກຼ	204
ວີ່	201
ຕິ	196
ຊີ່	195
ຢຶ່	188
ຈໍ່	184
ອີ່	177
ມໍ	174
ບໍ	173
ປີ	173
ຊິ	155
ຢູ	153
ລີ່	152
ປົ	149
ຣິ	147
ຈື	142
ຍີ	137
ບູ	136
ປູ	136
ຕູ	134
ອູ່	130
ກໍ່	126
ຢີ	119
ອື່	116
ປຼີ	115
ຣູ່	108
ຣຸ່	107
ອູ	106
ບຸ່	104
ປີ່	104
ບຸ	102
ພີ	101
ດູ່	99
ປົ່	99
ລິ	99
ກຼີ	97
ລູ່	94
ວັ່	92
ດົ	91
ວ່	89
ລຸ	84
ຈັ	82
ບີ່	80
ປິ	80
ປຸ່	80
ຣິ່	80
ງີ່	79
ຊຸ	79
ນື	77
ຕັ່	76
ວິ	76
ຈຸ	75
ງັ່	74
ຢີ່	74
ຄີ	72
ກຸ	67
ຍັ່	65
ຣຶ່	65
ທົ	63
ຢຸ	63
ລຸ່	63
ວີ	63
ມິ່	62
ກິ	61
ມີ	60
ຮົ	59
ບຼິ	58
ບຼັ	56
ກຼຸ່	54
ຢັ	52
ລົ່	52
ຢິ	50
ກຼັ	49
ນົ	45
ຈັ່	42
ກຼຸ	41
ກຼໍ	41
ປຼ	40
ນຸ່	39
ຣໍ	38
ຄື່	37
ຊູ່	37
ງຸ່	36
ປຼັ	36
ຣື່	35
ດິ	33
ນື່	33
ທໍ	32
ບື່	32
ຊື່	31
ນັ	29
ຢຸ່	29
ລິ່	29
ງໍ່	28
ທູ	28
ພິ	28
ຈໍ	27
ອຸ	27
ນິ	26
ຣົ່	26
ລຶ່	26
ປຼູ	25
ປຼົ	25
ລໍ	24
ກື່	23
ຈູ	23
ຕໍ	23
ບຼີ	23
ງິ່	22
6	21
ບຼ	21
ລູ	21
ກຼິ	20
ຍຸ່	20
ດູ	20
ປຼິ່	20
ນິ່	18
ຄຼີ	17
ຈົ່	17
0	16
ທິ	16
ນໍ	16
ຢົ	16
ທັ	15
ນີ່	15
5	14
ຍີ່	14
ວິ່	14
ຍົ	13
ດື່	12
ປຼື່	12
ຮີ່	12
ກຼັ່	11
ຄູ່	10
ຍຶ່	10
ທີ	10
ປື	10
ມຸ່	10
3	9
ດີ່	9
ຕໍ່	9
ຣຸ	9
ຈູ່	8
ດຶ່	8
1	7
ງື	7
ຊໍ	7
ປຼັ່	7
ພຸ່	7
ມື່	7
ກໍ	6
ພູ	6
ມໍ່	6
9	5
ກົ່	5
ກຼ່	5
ປຼຶ່	5
ມິ	5
ຮື່	5
ຮູ	5
8	4
ຢິ່	4
ວື່	4
ຮໍ	4
7	3
ກຼີ່	3
ກຼື	3
ກຼົ	3
ຄຸ	3
ນູ	3
ພັ	3
2	2
4	2
ກິ່	2
ຄິ	2
ງູ	2
ງົ່	2
ຍິ່	2
ຍູ	2
ທຸ	2
ກຶ່	1
ກຸ່	1
ກຼູ່	1
ງໍ	1
ຈຶ່	1
ຍັ	1
ຍື່	1
ທຶ່	1
ທູ່	1
ນຸ	1
ບົ	1
ບຼິ່	1
ປຸ	1
ປຼິ	1
ປຼື	1
ປຼຸ່	1
ພົ	1
ມຸ	1
ຢື່	1
ຣົ	1
ລໍ່	1
ວູ	1
ວົ່	1
ອັ່	1
ຮຸ	1
