cluster	count	casing patterns
ɛ	91562	
e	77285	
b	60609	
i	60448	
u	57200	
a	56461	
o	48418	
n	41499	
w	40527	
l	38415	
m	34300	
ŋ	34255	
y	32389	
k	28779	
g	27307	
h	21384	
f	19936	
j	18850	
s	17621	
t	13804	
c	11211	
d	6969	
ɛ̀	5370	only_lower
ù	5163	only_lower
ì	4303	only_lower
v	4003	only_lower
ê	2390	only_lower
ɛ̂	1859	only_lower
û	1775	only_lower
é	1765	only_lower
â	1133	only_lower
ô	971	only_lower
î	810	only_lower
ɛ́	407	only_lower
ó	133	only_lower
ú	129	only_lower
á	112	only_lower
ò	76	only_lower
0	61	
à	57	only_lower
í	45	only_lower
1	25	
4	15	
2	13	
3	12	
5	9	
6	7	
7	7	
è	3	only_lower
8	2	
ʼ	1	
