cluster	count	casing patterns
n	73548	
í	61567	only_lower
d	57020	
b	52916	
t	50264	
a	48590	
ì	46520	
m	42983	
g	39978	
á	36080	
k	35703	
i	35532	
à	34003	
ꞌ	33808	only_lower
ó	32692	only_lower
o	32168	
e	30840	
ò	29073	
y	25291	
ù	18613	
j	18280	
u	17691	only_lower
â	16850	only_lower
è	16805	
l	15735	
c	15178	
w	12856	
ṛ	12615	
é	11919	
ú	11016	only_lower
v	10266	
z	8674	
p	7178	
s	6167	
î	6055	only_lower
ŋ	5917	
û	5793	only_lower
r	3012	
ô	2381	only_lower
ê	813	only_lower
f	440	
0	89	
1	20	
4	20	
2	7	
7	6	
5	5	
6	5	
9	5	
3	4	
8	1	
