cluster	count	casing patterns
या	100202	
व	74647	
त	68822	
गु	60863	
म	43367	
र	39244	
इ	35572	
ल	32417	
य्	31850	
य्‌	29832	
क	26386	
अ	25474	
मि	24615	
ना	24083	
ह	23419	
प	21662	
न	21348	
न्‍	21318	
म्‍	18754	
पिं	16271	
य	15931	
च्‍	15555	
जु	15502	
ले	15038	
ये	14626	
स	13986	
सं	13283	
दु	13136	
जि	13039	
छि	12956	
नं	12530	
वं	12309	
ब	12214	
का	11947	
ला	11642	
हे	11632	
स्‍	11614	
ध	11208	
द	11182	
हा	10889	
क्‍	10744	
सा	10241	
याः	10232	
लि	10025	
प्	9726	
पा	9512	
श	9244	
खः	9100	
दी	8676	
वा	8584	
तः	8581	
मा	8396	
ल्‍	8352	
थ	8319	
रा	8271	
श्‍	8110	
थः	8039	
मे	8006	
ने	7946	
नू	7825	
ज्‍	7766	
बि	7504	
छ	7197	
पि	6865	
काः	6659	
सि	6625	
नाः	6594	
ति	6556	
खु	6282	
नि	6204	
जिं	6181	
र्	6074	
उ	6015	
थ्‍	5994	
फु	5673	
भु	5612	
ए	5606	
ता	5591	
त्‍	5587	
दा	5586	
वः	5557	
थे	5554	
धा	5499	
दि	5345	
पु	5281	
चा	5274	
था	5263	
ग	5139	
ह्	5108	
के	5085	
धाः	5001	
लं	4950	
खँ	4778	
नी	4765	
ख	4665	
ज	4638	
थु	4341	
जा	4333	
थें	4293	
द्	4281	
ब्‍	4279	
कः	4273	
वि	4237	
यः	4205	
दे	4165	
आ	4143	
यं	4133	
बी	4129	
कि	4078	
छा	4027	
बा	3777	
सु	3771	
त्	3640	
कं	3381	
छ्	3332	
यू	3329	
सी	3174	
जू	3161	
री	2959	
फ	2956	
स्	2956	
ली	2897	
तिं	2883	
रं	2863	
शा	2801	
से	2743	
प्‍	2722	
ग्‍	2717	
माः	2648	
सः	2567	
क्	2546	
लाः	2541	
खा	2521	
छं	2516	
च	2502	
गू	2467	
छु	2455	
भिं	2443	
भुं	2424	
निं	2344	
कू	2326	
कु	2266	
हु	2261	
हू	2117	
थं	2116	
पं	2092	
हां	2090	
खें	2078	
हि	2049	
हं	2037	
की	2035	
लिं	2030	
धं	2014	
गः	1985	
वाः	1953	
मो	1946	
तं	1915	
सें	1909	
झी	1883	
ते	1866	
रु	1860	
रो	1860	
रि	1856	
चि	1852	
रू	1842	
नां	1811	
नु	1807	
ट	1805	
सँ	1780	
ऊ	1759	
बु	1688	
बे	1639	
तु	1631	
