cluster	count	casing patterns
e	54239	
ɛ	36781	
n	32576	
o	25828	
b	23052	
u	22019	
w	19529	
i	19135	
a	17695	
k	16660	
m	15925	
y	15479	
l	14413	
v	11340	only_lower
s	11163	
t	9925	
f	9153	
ŋ	5874	
j	5433	
g	5336	
d	5116	
c	4310	
ú	3905	only_lower
ó	3234	only_lower
ɛ̂	2388	
ô	2226	only_lower
ù	1935	only_lower
ɛ̀	1756	
h	1470	only_lower
ɛ́	1426	
ì	1240	only_lower
î	1142	only_lower
ò	996	only_lower
è	727	only_lower
p	712	only_lower
í	679	only_lower
é	451	only_lower
á	72	only_lower
0	35	
1	14	
2	10	
à	8	only_lower
4	7	
6	7	
3	6	
û	6	only_lower
7	3	
5	2	
â	2	only_lower
8	1	
