cluster	count	casing patterns
n	102826	
d	74121	
à	71804	
a	54637	
r	44126	
t	40688	
k	37068	
h	35747	
ɔ̀	34859	
y	33828	
b	33240	
ɨ́	27213	
ɨ	26933	
ɨ̀	24365	
á	24140	
m	23390	
ʉ̀	21698	
l	19757	
u	19203	
g	18458	
z	17484	
ɔ̌	14430	
ɨ̌	14330	only_lower
ɛ	14313	
s	14140	
í	13664	
p	13182	
ɔ́	12533	
ì	11675	
ǎ	11661	
w	11465	
i	9703	
ù	9664	
ɔ	8320	
ʉ	7979	
o	7681	
ò	6999	
f	6580	
v	5825	
ě	5610	
ɛ̀	5588	
ʉ́	5154	
ó	4736	
ú	4333	
ɛ́	4244	
è	3691	
ʉ̌	3613	only_lower
ɛ̌	2726	only_lower
ǔ	2543	only_lower
ǐ	1267	only_lower
ǒ	1095	only_lower
e	1071	
é	531	only_lower
1	166	
2	78	
3	39	
5	30	
0	26	
4	26	
6	25	
9	17	
7	16	
8	14	
