cluster	count	casing patterns
ə	95790	
n	83821	
a	71561	
ʋ	41915	
t	40686	
ɩ	39904	only_lower
w	39301	
y	31101	
b	28076	
á	27672	
à	25231	
d	23124	
k	22519	
i	20825	only_lower
m	19187	
l	17637	
s	16467	
r	16149	
u	15086	only_lower
z	14680	
p	12289	
ɩ̀	11828	only_lower
o	11748	
g	9297	
c	7792	
e	7657	
ʋ̀	7427	only_lower
ì	6404	only_lower
ŋ	6177	
ʋ́	5660	only_lower
j	5315	
ɛ	4975	
í	4640	only_lower
ɩ́	4106	only_lower
f	3903	
ə̀	3683	only_lower
ń	3583	only_lower
ə́	3099	only_lower
ú	2904	only_lower
v	2761	
ù	2414	only_lower
ɛ̀	1731	only_lower
ɔ	356	
ò	298	only_lower
é	288	only_lower
h	172	
ó	158	only_lower
è	88	only_lower
0	75	
ɔ̀	33	only_lower
2	20	
1	17	
4	7	
ɔ́	7	only_lower
6	6	
7	4	
3	3	
5	3	
