cluster	count	casing patterns
a	301716	
i	118334	
m	112701	
h	99931	
e	81554	
r	81167	
u	74712	
ʉ	63873	
j	63047	
n	55296	
g	53593	
c	45209	
p	44727	
k	43100	
o	38586	
d	36499	
t	33694	
w	32213	
b	29494	
ã	24040	
s	22611	
ĩ	12701	
ẽ	7151	
õ	5408	
l	3424	
ũ	3411	
ʉ̃	2929	
y	2451	
á	1966	only_lower
ú	1233	only_lower
í	941	
1	484	
ä	480	only_lower
f	429	
é	413	
v	389	
ó	255	only_lower
z	254	
2	245	
ñ	204	only_lower
ʉ́	198	only_lower
3	154	
4	151	
0	117	
q	115	
5	105	
9	86	
6	75	
8	69	
7	66	
x	14	only_lower
