cluster	count	casing patterns
ᒋ	84258	
ᐊ	68103	
ᐅ	46532	
ᑕ	46153	
ᐛ	43192	
ᔅ	40655	
ᒡ	40429	
ᓂ	39825	
ᐃ	36942	
ᒪ	33638	
ᑎ	33358	
ᔭ	33218	
ᓐ	31395	
ᑯ	30964	
ᔨ	29522	
ᓯ	28377	
ᒥ	28336	
ᐤ	27615	
ᑲ	27607	
ᑭ	26200	
ᒐ	25445	
ᓇ	24306	
ᐱ	21990	
ᑐ	17214	
ᑦ	17142	
ᐸ	16141	
ᓴ	15593	
ᔪ	15489	
ᐎ	14421	
ᒧ	11553	
ᒄ	11236	
ᒂ	10623	
ᒃ	10612	
ᓱ	9916	
ᓄ	9255	
ᐧ	8844	
ᒻ	4031	
ᔾ	3921	
ᑈ	3350	
ᔄ	2449	
ᐳ	2406	
ᒍ	1793	
ᑉ	1676	
ᔎ	1564	
ᕋ	1549	
e	1450	
r	1377	
a	1371	
1	1219	
ᔽ	1210	
ᑥ	1101	
ᓪ	974	
p	873	
ᓕ	871	
ᒺ	781	
᙭	741	
ᕐ	705	
2	663	
ᓚ	659	
y	640	
s	552	
ᕆ	541	
ᕈ	530	
o	451	only_lower
t	415	
n	396	
3	368	
ᓏ	343	
4	314	
l	285	
ᒠ	276	
m	272	
5	266	
c	265	
i	254	only_lower
h	227	
6	225	
b	224	
ᐦ	219	
7	200	
8	186	
9	176	
0	172	
ᓗ	125	
u	95	only_lower
k	86	only_lower
ᔍ	74	
d	71	
w	61	only_lower
j	51	only_upper
g	48	
v	46	only_lower
x	15	only_lower
f	9	only_lower
ᔌ	1	
