cluster	count
या	30983
व	25884
य्‌	21160
त	21011
गु	20979
म	13908
इ	11002
र	10590
ल	9529
ना	9450
क	8945
मि	7549
न्‍	7259
अ	7024
ह	6993
म्‍	6547
प	6355
न	6140
च्‍	5964
ये	5749
य	5573
सं	5570
पिं	5182
नं	5071
स	5054
हे	4942
जि	4892
ध	4876
छि	4776
स्‍	4671
जु	4443
दु	4088
ला	4059
तः	4053
ले	4032
श्	3882
वं	3827
सा	3648
का	3643
ब	3599
दी	3560
मा	3378
याः	3336
मे	3299
खः	3252
हा	3208
वा	3179
काः	3156
थ	3098
क्‍	3096
पा	2969
द	2903
नू	2849
पि	2792
ने	2679
ज्‍	2670
लि	2614
खँ	2611
दि	2606
नाः	2549
नि	2456
लं	2412
सि	2396
ति	2383
कः	2372
प्	2370
खु	2354
थः	2350
बि	2306
थे	2304
ल्‍	2255
थ्‍	2240
र्	2113
त्‍	2074
के	1956
ता	1949
ज	1946
जिं	1938
वः	1888
फु	1832
ग	1808
धाः	1781
छ	1766
ख	1750
वि	1741
धा	1731
श	1664
ह्	1562
थें	1543
चा	1525
यं	1485
था	1453
जू	1439
सु	1426
त्	1425
यू	1408
पु	1407
भिं	1352
रा	1343
भु	1342
कं	1328
थु	1320
फ	1300
सी	1296
आ	1247
बी	1214
ष्‍	1185
यः	1180
लिं	1173
री	1171
क्	1157
उ	1128
ट	1117
जा	1093
छा	1086
धं	1083
ब्‍	1077
झी	1062
कि	1059
नी	1040
ग्‍	1037
द्	1022
दा	992
च	908
छ्	906
से	893
लाः	874
शू	871
रं	864
बा	842
नु	828
प्‍	824
सँ	794
रु	793
सः	784
ख्	777
तिं	761
माः	756
छिं	743
छु	731
रि	730
ते	714
तं	694
शा	682
सां	671
वाः	668
हु	657
धुं	652
हू	649
खा	631
नां	621
ली	618
कू	612
खं	584
कु	570
खें	568
गः	561
हं	560
की	558
तु	556
निं	555
थं	552
धि	547
मु	542
झा	538
हां	530
दे	527
हि	519
ख्‍	509
बु	506
लें	506
चि	486
बां	481
किं	473
दुः	468
लु	467
छुं	465
भ	440
रू	436
छं	419
छेँ	417
मं	413
सें	413
वँ	390
पं	387
व्‍	384
ए	383
आः	382
हः	381
रो	363
चे	362
ष	357
मां	348
लँ	348
भा	340
ज्	338
गू	334
यु	331
बाः	326
ड	321
मू	317
ताः	316
मी	304
ध्‍	302
मो	302
वी	301
गा	300
स्	297
तुं	293
यां	288
चाः	287
भुं	285
जी	283
दां	283
पाः	269
पृ	261
लः	257
भ्‍	255
ण्‍	250
न्	249
थी	239
हाः	234
ञा	232
रे	224
गि	221
दू	221
फ्‍	220
खे	217
चु	216
जं	210
शूं	209
ब्	206
शं	205
जाँ	200
भू	197
दो	195
खि	194
जाः	194
पां	184
पू	181
सुं	178
शु	174
उँ	173
यो	173
चिं	169
धु	169
षी	164
ई	161
फि	160
जः	159
शि	159
इँ	155
म्	153
थि	152
तां	149
पी	145
लो	141
भाः	140
साः	140
झ	138
सिं	133
टि	132
शै	129
गं	122
भि	122
फै	121
गाः	116
ची	116
हो	115
ऊ	114
च्	114
कां	111
ण	111
बौ	110
ग्	109
बे	106
षा	105
ती	103
दँ	103
डा	102
ठ	101
फा	99
पौ	98
बू	98
मुं	97
को	96
श्‍	94
चं	92
खां	90
लां	90
वां	90
थौं	87
घ	86
झाः	86
झिं	85
सृ	85
यँ	84
हुँ	84
गुं	83
झ्‍	82
टं	82
ही	82
कै	75
चां	69
ल्	66
वाँ	64
बुँ	63
धी	62
युं	62
लुँ	61
छाः	60
तू	59
जुं	57
झं	57
पः	57
झः	56
हिं	56
दं	55
सो	55
थां	54
शां	53
थू	52
पाँ	52
राः	52
सू	51
णी	50
ओ	49
झि	49
फू	49
छे	46
नें	46
छ्‌	45
पँ	45
वे	44
कुं	42
खुँ	42
पो	42
मृ	42
छी	40
थ्	40
बँ	40
हँ	40
लू	39
साँ	39
घा	38
टा	38
ष्	38
खाः	37
छ्‍	37
डो	37
अः	35
पे	35
गां	34
जे	34
दः	33
णं	32
घाँ	31
णा	31
धिं	31
फः	31
फे	31
फ्	31
बः	31
धू	29
गुँ	28
चः	28
य्	28
गिं	27
बं	27
हेँ	27
०	27
घाः	26
धो	26
१	25
जै	24
टी	24
डि	24
नः	23
पुं	23
मिं	23
रां	23
घ्	22
घ्‍	22
ङ्	22
५	22
ठी	21
डाँ	21
डी	21
रीं	21
ढा	20
थुं	20
ञां	19
भे	19
गी	18
टु	18
फिं	18
शी	18
षि	17
कुँ	16
खू	16
छें	16
जां	16
ट्	16
नो	16
घे	15
जो	15
नँ	15
बुं	15
वीं	15
खुं	14
गे	14
घौ	14
चुं	14
डं	14
ध्	14
षे	14
डे	13
भः	13
खै	12
ठा	12
फो	12
यि	12
व्	12
शे	12
२	12
७	12
कें	11
गौ	11
टे	11
थो	11
दिं	11
भी	11
भ्	11
वें	11
सिँ	11
अं	10
ईं	10
कँ	10
घृ	10
थाः	10
धे	10
नौ	10
फं	10
फी	10
रुं	10
हुं	10
६	10
आँ	9
छां	9
झ्	9
ड्	9
ण्	9
न्‌	9
लीं	9
८	9
घः	8
घु	8
जँ	8
नीं	8
नै	8
मै	8
व‍	8
षीं	8
कृ	7
चू	7
भां	7
रिं	7
षं	7
३	7
गो	6
च्‌	6
झाँ	6
टिं	6
ड्‌	6
तीं	6
तो	6
थिं	6
बाँ	6
बो	6
मौ	6
सीं	6
९	6
इं	5
घि	5
भौ	5
लुं	5
लौ	5
शो	5
हिँ	5
हें	5
गेँ	4
छू	4
डां	4
डीं	4
दाँ	4
दाः	4
धः	4
धां	4
बै	4
रः	4
शुं	4
४	4
आं	3
खो	3
गैं	3
झां	3
णि	3
त्‌	3
धें	3
धै	3
फौ	3
भं	3
गै	2
चुँ	2
ज‍	2
णीं	2
थँ	2
थीं	2
धँ	2
धीं	2
फाँ	2
फां	2
भो	2
मुँ	2
में	2
रूं	2
q	1
अँ	1
इ‌	1
ऋ	1
कूं	1
केँ	1
खिं	1
खी	1
खेँ	1
घँ	1
घो	1
छिँ	1
झु	1
झे	1
झो	1
झौ	1
टां	1
टो	1
डौं	1
ढु	1
णां	1
थौ	1
दीं	1
पीं	1
फाः	1
फुं	1
बिं	1
मू्	1
यूं	1
रा‌	1
र्‌	1
ल‍	1
वीँ	1
षां	1
सै	1
हों	1
