cluster	count	casing patterns
ɛ	63902	
a	51864	
ɔ	39509	
n	26400	
k	24990	
b	24439	
i	22571	
e	20733	
u	19442	
l	18712	
s	18519	
t	16342	
o	13005	
p	11587	
g	11315	
y	10314	
h	10184	
m	9821	
d	8103	
z	5593	
w	4847	
ã	4202	
ɖ	3478	
ɛ̀	2886	
ɔ̃	2568	
f	2231	
à	1715	only_lower
ũ	1705	
r	1565	
v	1206	
ĩ	1183	
ŋ	1088	
x	907	
ì	802	only_lower
í	608	only_lower
è	466	only_lower
ú	333	only_lower
ù	287	only_lower
ɔ̀	274	only_lower
á	124	only_lower
ɛ̃	106	only_lower
ò	90	only_lower
ɛ́	90	only_lower
ƒ	70	only_lower
é	66	only_lower
ɔ́	39	only_lower
1	21	
2	18	
0	9	
3	8	
5	8	
6	8	
ó	6	only_lower
4	5	
9	4	
8	3	
7	2	
