cluster	count	casing patterns
a	122841	
n	75810	
i	73212	
ꞌ	64051	only_lower
u	57042	
e	52474	
h	48675	
d	36534	
t	36504	
r	35263	
g	34126	
o	33837	
m	33261	
a̱	31742	only_lower
b	29302	
ʉ	27894	
y	23789	
j	19846	
s	19088	
p	16652	
á	14755	only_lower
x	13078	
c	11030	
ñ	9557	
ɛ	9132	only_lower
ú	8044	only_lower
ø	7908	
í	5496	only_lower
z	5339	
f	5300	
q	3969	
l	2625	
ʉ́	1777	only_lower
á̱	1023	only_lower
ó	584	only_lower
v	281	only_lower
é	111	only_lower
ü	25	only_lower
k	12	only_lower
ɛ́	3	only_lower
