cluster	count	casing patterns
a	96524	
n	86055	
i	67805	
ʉ	49478	only_lower
h	47656	
b	47421	
u	45589	
m	39859	
d	34755	
g	32879	
t	32861	
o	31557	
ɛ	30122	only_lower
y	28902	
e	28647	
r	28145	
j	21096	
s	19254	
ą	14984	
p	14304	
ä	13539	
x	11155	
ɛ̨	10732	
á	10060	only_lower
í	8766	
ø	8364	only_lower
c	7523	
z	4823	
ʉ́	2933	only_lower
f	2896	
ú	2709	only_lower
l	1905	
q	1668	
į	975	
é	628	
ó	249	only_lower
v	185	only_lower
ü	107	only_lower
ų	10	only_lower
k	6	only_lower
ñ	2	only_lower
0	1	
ą́	1	only_lower
ą̈	1	only_lower
