cluster	count	casing patterns
a̱	91534	
n	91192	
h	46683	
a	45129	
y	44346	
m	43760	
i̱	42941	
g	40349	
e	39832	
u	37527	
i	35882	
t	34928	
o	34624	
r	33393	
d	33028	
ʉ	28331	only_lower
b	25887	
j	25781	
ø	23178	
p	22718	
s	19945	
u̱	19886	only_lower
ɛ̱	14485	
ä	12837	only_lower
x	10943	
ɛ	10529	
c	9588	
á̱	8191	only_lower
í	4873	only_lower
z	4612	
q	4547	
f	2956	
l	2525	
ú	2398	only_lower
í̱	1685	only_lower
á	1506	only_lower
é	498	only_lower
ü	307	only_lower
v	243	only_lower
ó	206	only_lower
ɛ̱̱	20	only_upper
k	11	only_lower
ẖ	5	only_lower
ṉ	3	only_lower
e̱	2	only_lower
m̱	2	only_lower
ñ	2	only_lower
ʉ́	2	only_lower
0	1	
3	1	
4	1	
ḏ	1	only_lower
ú̱	1	only_lower
