cluster	count	casing patterns
i	105011	
j	103224	
a	99976	
c	85842	
n	67868	
ʉ	62937	
u	61077	
t	60471	
r	52242	
d	48566	
o	47081	
e	46280	
b	45351	
m	45159	
g	43023	
h	36138	
a̱	32731	
p	27521	
í	22217	
s	20670	
y	19903	
z	19265	
x	17537	
á	16053	only_lower
ö	15862	only_lower
q	14536	
ɛ	12000	only_lower
u̱	9231	only_lower
ø	8760	
ñ	8742	only_lower
e̱	8489	only_lower
l	7698	
ú	7064	only_lower
i̱	5285	only_lower
f	4194	
é	3460	only_lower
ʉ́	3135	only_lower
v	1613	
á̱	1190	
í̱	891	only_lower
ó	825	only_lower
w	531	
ü	257	only_lower
ú̱	146	only_lower
ë	7	only_lower
0	4	
é̱	3	only_lower
4	2	
8	2	
ö́	2	only_lower
1	1	
c̱	1	only_lower
ṉ	1	only_lower
ö̱	1	only_lower
ṯ	1	only_lower
ǿ	1	only_lower
ɛ́	1	only_lower
ʉ̱	1	only_lower
