cluster	count	casing patterns
e	89975	
a	77925	
b	62614	
m	54346	
n	49479	
l	42007	
o	40186	
ɨ	37208	
y	36588	
é	31436	
ɛ	28767	
i	25671	
ʉ	24676	only_lower
ʼ	21678	
s	20901	
w	19499	
ó	18223	
t	17397	
d	15918	
ɔ	14868	
r	14848	
k	14239	
u	13297	
p	11284	
g	10943	
h	9670	
z	9228	
j	8585	
ŋ	4706	only_lower
c	3822	
f	2839	
œ	1346	only_lower
â	678	only_lower
î	571	only_lower
ǃ	491	
è	475	only_lower
á	468	only_lower
à	444	only_lower
ê	342	only_lower
ò	330	only_lower
ɨ̀	315	only_lower
v	274	
í	113	only_lower
ɛ̀	102	only_lower
ù	54	only_lower
ɨ̂	47	only_lower
q	44	only_lower
ì	39	only_lower
0	35	
ɛ̂	28	only_lower
ʉ̌	25	only_lower
ɔ́	24	only_lower
1	19	
ʉ́	15	only_lower
2	13	
4	10	
ô	8	only_lower
ɔ̀	7	only_lower
ʉ̀	7	only_lower
5	4	
6	4	
9	4	
3	3	
ǐ	3	only_lower
7	1	
8	1	
ë	1	only_lower
ú	1	only_lower
