cluster	count	casing patterns
a	238799	
e	180274	
i	123996	
o	118514	
r	81682	
h	72603	
p	71981	
n	59985	
u	57567	
t	53986	
g	50293	
m	49545	
v	49361	
k	41755	
j	40998	
y	35133	
g̃	32758	
d	21488	
s	21260	
w	18689	only_lower
b	16694	
ẽ	10649	only_lower
ã	4066	only_lower
c	3772	
ũ	3136	only_lower
l	3042	
ĩ	1461	only_lower
é	1395	
õ	1319	only_lower
f	689	
x	676	
z	540	
ỹ	534	only_lower
á	439	
q	372	
ó	192	only_lower
ê	166	
ô	141	
í	136	only_lower
ú	45	only_lower
â	21	only_lower
ç	10	only_lower
à	2	only_lower
