cluster	count	casing patterns
ဝ်	130132	
န်	108395	
င်	84322	
အီ	68606	
ဒီ	59467	
မ်	47523	
ဝ်း	45786	
အာ	44937	
ဂေ	44452	
ယ်	40274	
အ	39420	
ဘော	38885	
ကာ	37342	
ပ်	33226	
ဒူ	32916	
ဇ	30044	
တဲး	26615	
ဟဲ့	26234	
အု	24445	
ဝီ	24338	
ပီ	23997	
တီ	23158	
ဘေ	20408	
တ်	20136	
မိူ	18949	
ဒါ	18403	
ဖြာ	18331	
န့	17915	
တ့်	17604	
မာ	16425	
မဲ	15878	
တူ	15185	
န့်	14307	
န	13817	
ဘူ	13744	
ခဲ	13446	
လာ	13195	
မုး	12893	
ကွ	12761	
ဆေ	12651	
က်	12456	
တ	11473	
ဆီ	11390	
ဆာ	10830	
မို	10427	
ယေ	9777	
လု	9657	
အို	9090	
ဟာ	8938	
နာ	8933	
ဘဲ	8732	
ခု	8554	
အူ	7708	
မျု	7349	
တွို	7048	
ခ	6845	
ဒေါ	6816	
လ	6624	
ဒွ	6593	
လွ	6539	
င့်	6379	
ပါ	6361	
ဆ	6080	
တး	6020	
မှာ	5972	
ပွို	5890	
တာ	5823	
ရာ	5823	
ဂွ	5782	
အေ	5641	
ဘ့	5432	
ဒဲ	5232	
ဆူ	5211	
ဒု	5201	
ဝ့်	5184	
ဂြု	5173	
ယီ	5154	
ရေ	5124	
နီ	4943	
ယ	4915	
ဟွ	4744	
ဒို	4742	
ဟူ	4486	
ဂါ	4455	
ဒ	4395	
ဟ	4271	
လှူ	4008	
လေး	3983	
ဂု	3902	
ဘာ	3676	
လို	3622	
ကူ	3485	
ဝဲ	3279	
ဒွါ	3274	
ရူ	3152	
ဂို	3122	
မွှို	3115	
ယို	3045	
လူ	3037	
ယာ	2856	
လဲ	2854	
ဝါ	2788	
ပ	2751	
မု	2709	
င	2684	
ပဲ့	2663	
ခို	2644	
ဘို	2625	
ဟု	2624	
ရ	2606	
ခဲ့	2592	
စိူ	2504	
ကွဲ့	2499	
ရို	2474	
ပ့	2419	
ကြို	2411	
ငဲ	2384	
မ	2371	
ယု	2366	
ဂ့	2302	
ခြို	2284	
ကိူ	2135	
ဘွ	2121	
လေ	2117	
မှ	2113	
ထူ	2106	
ခါ	2094	
ကော	2081	
ဒွို	1946	
ဆဲ	1942	
း	1876	
မူ	1850	
ဝိ	1807	
ပေါ	1789	
နု	1759	
ယွ	1741	
ယူ	1720	
ဟေ	1699	
ဖာ	1662	
လျီ	1635	
