cluster	count	casing patterns
า	276808	
อ	221469	
เ	161671	
ห	131204	
บ	128132	
แ	125029	
น	122103	
โ	112480	
ม	100407	
ง	97325	
ว	87063	
ย	78935	
ก	78062	
ด	74189	
อี	69931	
ร	69390	
ฆ	65355	
ดี	61442	
ต	57285	
ะ	52079	
ฮ	50144	
ล	42431	
อั	39555	
ณ	35199	
ค	32656	
ซ	30576	
ฌ	30417	
อึ	28141	
วี	26469	
ปี	24373	
ดู	24068	
ตี	23741	
พ	23157	
มื	18949	
ป	18748	
มู	15031	
มึ	14306	
ซี	12529	
ตู	11436	
ต็	10579	
อู	8970	
ตึ	8482	
รึ	8032	
นั	7623	
คั	7206	
ลู	7084	
ตั	6820	
ดึ	6688	
ดั	6634	
น็	6515	
ปึ	6346	
ลั	5995	
ซู	5965	
ยี	5819	
นี	5479	
ยั	5105	
คู	4836	
ลึ	4643	
จ	4419	
ท	4151	
รี	3988	
ฆึ	3378	
ยึ	3334	
ฌั	3208	
ลี	3147	
ปั	2908	
ร็	2828	
รั	2714	
คึ	2644	
บึ	2625	
มั	2583	
บู	2550	
ซั	2527	
จื	2504	
รู	2444	
ฆู	2250	
บั	2199	
กื	2136	
ฆี	2104	
จั	2056	
ฮู	2009	
ยู	1993	
มี	1824	
บี	1778	
พึ	1642	
ฮี	1627	
ซึ	1507	
ณึ	1488	
ง็	1485	
ฮั	1333	
ย็	1314	
ฌู	1278	
ชึ	1209	
ซื	1170	
ล็	1149	
ฆ็	1147	
บ็	1105	
วั	1062	
ฌึ	1055	
อื	1034	
พี	985	
พั	966	
งู	929	
กั	909	
ดื	883	
พู	750	
จู	713	
ฌี	703	
ช็	702	
ที	661	
จึ	587	
กี	566	
ทึ	542	
ณั	535	
ว็	531	
ฮ็	471	
ป็	450	
ปู	430	
ฆั	416	
ทู	413	
ม็	413	
คี	407	
จี	384	
นู	363	
ด็	362	
ฌ็	294	
ชี	292	
ฮึ	277	
นึ	238	
กู	214	
วึ	207	
พ็	205	
ทั	178	
ณ็	175	
ยื	165	
จ็	155	
งั	152	
ซ็	142	
ก็	135	
ลื	128	
งึ	126	
งี	124	
ช	111	
นื	108	
พื	105	
อ็	103	
คื	101	
ฆื	89	
ฟ	60	
กึ	58	
ฟั	57	
ฟี	41	
ณื	31	
บื	27	
ชั	25	
ตื	25	
ฟึ	21	
ฌื	14	
ทื	8	
ฮื	8	
ปื	7	
ชู	6	
ค็	4	
1	3	
4	3	
6	3	
ฟู	3	
2	2	
ณู	2	
0	1	
3	1	
ณี	1	
ฟ็	1	
