cluster	count	casing patterns
र	20046	
त	18042	
अ	16221	
क	13982	
स	12435	
न्	10410	
ते	9618	
ई	8422	
से	8217	
प	8156	
कि	7634	
जे	7267	
ए	7182	
म	6946	
मे	6610	
ल	6475	
ता	6300	
ब	5923	
ण	5806	
न	5746	
के	5743	
इ	5681	
रे	5286	
ह	5167	
पु	4811	
बो	4737	
सी	4485	
उं	4428	
तु	4118	
ईं	4049	
आ	3939	
व	3866	
य	3734	
ना	3690	
श्	3632	
बि	3500	
शु	3334	
ज	3288	
रा	3187	
हि	3084	
ग	3010	
सा	2865	
णे	2792	
णु	2784	
री	2701	
बा	2676	
तो	2503	
ह्‍	2445	
या	2408	
भु	2294	
सु	2277	
लु	2272	
ख	2149	
उ	2146	
लि	2095	
हे	2086	
छ	2085	
वा	2081	
आं	2043	
मा	2027	
ठ	1995	
हो	1976	
यी	1932	
भो	1786	
च	1760	
श	1759	
ओ	1755	
ड़	1606	
द	1586	
ने	1581	
ला	1581	
दु	1557	
जु	1551	
ती	1547	
दे	1532	
जा	1494	
थि	1482	
वि	1438	
ले	1409	
ति	1405	
ट	1403	
जो	1393	
बे	1377	
को	1368	
सो	1362	
प्	1359	
गा	1342	
फ	1324	
कु	1294	
ध	1274	
र्	1270	
हा	1270	
स्	1251	
थ	1243	
की	1237	
घे	1221	
नि	1220	
गे	1204	
दी	1192	
रो	1149	
चा	1148	
गो	1143	
णि	1139	
ठि	1088	
रु	1013	
जी	1001	
क्	977	
भ	957	
बु	943	
मो	942	
का	940	
शे	915	
दि	893	
रि	886	
ज्	871	
दा	867	
पा	865	
में	862	
ये	861	
त्	818	
झ	802	
म्	793	
चे	790	
मी	766	
ली	758	
ड़ा	756	
खु	753	
जि	747	
तुं	690	
ड़े	682	
ड़ी	670	
शा	652	
पे	632	
णा	625	
ष्	623	
मु	617	
बी	612	
हें	601	
शि	596	
भे	566	
भा	565	
ब्	563	
पू	540	
च्	537	
ल्	533	
धे	526	
ची	524	
हू	516	
टे	515	
खा	514	
थी	510	
टा	493	
खे	491	
गी	473	
खो	456	
जीं	451	
नी	428	
खि	400	
ड	395	
गु	388	
धि	383	
घि	381	
दू	353	
पौ	349	
लो	347	
पि	341	
चु	340	
ट्	334	
छा	323	
मि	321	
फि	320	
लं	310	
हु	310	
रू	309	
ठी	295	
घा	288	
तें	284	
ही	283	
षा	282	
डा	277	
दो	275	
घ	272	
सं	272	
टि	267	
छु	265	
न्‍	261	
हां	259	
यू	252	
ऊ	246	
डे	246	
तीं	236	
णो	232	
भि	232	
लौ	232	
ड़ि	230	
एं	228	
यो	228	
पी	224	
टी	219	
गि	211	
ढ़	207	
रौ	207	
धा	204	
चि	202	
ओं	200	
णी	199	
चो	192	
कीं	187	
यु	186	
घो	184	
फा	181	
सि	176	
ग्	175	
शो	173	
ण्	172	
शी	168	
झि	167	
ठे	166	
मौ	166	
गै	164	
टो	164	
नो	159	
पं	145	
ष	144	
नौ	140	
मू	140	
हं	135	
कै	134	
डी	133	
ढ	130	
रां	129	
था	127	
ठा	125	
द्	124	
ड़ु	120	
कृ	115	
ख्	113	
टु	111	
छो	108	
थे	108	
शै	101	
नु	100	
भुं	97	
कें	96	
झा	96	
खी	95	
औ	89	
खां	88	
ठु	86	
है	86	
लिं	84	
ढ़ि	78	
अं	76	
झू	75	
फे	75	
कू	73	
डु	73	
मुं	69	
दौ	63	
रुं	63	
बां	62	
सिं	62	
दृ	61	
ढ़े	60	
छि	59	
ढ़ी	59	
ध्	59	
वे	59	
ढ़ा	57	
वी	53	
फु	51	
ड़ो	50	
ढ़ो	50	
बै	50	
भीं	50	
छे	49	
य्	48	
ञा	47	
थो	47	
झे	46	
चौ	45	
धो	45	
बं	41	
बू	41	
धी	40	
तूं	39	
सू	39	
पो	38	
झु	37	
थु	37	
रं	36	
लू	36	
षी	36	
घु	35	
ड्	35	
सौ	35	
जू	33	
धु	33	
ढु	31	
भ्	30	
शं	30	
छू	29	
धू	29	
फी	29	
सृ	29	
खुं	27	
डू	26	
0	24	
झी	24	
फू	24	
लुं	24	
ऊं	23	
जै	23	
डो	23	
सै	23	
फै	22	
फ्	22	
मं	22	
कं	20	
ह्‌	20	
कां	19	
पें	19	
झो	18	
भी	18	
हुं	18	
ह्	18	
घी	17	
जं	16	
टूं	16	
पै	16	
षे	16	
कुं	15	
टां	15	
ढी	15	
नू	15	
हाँ	15	
चै	14	
टुं	14	
डि	14	
यं	14	
गिं	13	
छी	13	
ढ़ु	13	
5	12	
6	12	
चू	12	
जां	12	
टू	12	
फो	12	
व्	12	
ऋ	11	
गुं	11	
टौ	11	
ढों	11	
युं	11	
रों	11	
सुं	11	
4	10	
ड़ं	10	
ढे	10	
थू	10	
वं	10	
वां	10	
घं	9	
जूं	9	
लै	9	
षि	9	
1	8	
2	8	
3	8	
मां	8	
वै	8	
9	7	
ठो	7	
ढा	7	
यि	7	
रीं	7	
शीं	7	
छिं	6	
ठूं	6	
ढं	6	
ढि	6	
नै	6	
फौ	6	
भू	6	
हूं	6	
कौ	5	
तै	5	
धौ	5	
पुं	5	
हौ	5	
ऐ	4	
गौ	4	
चं	4	
चौं	4	
डं	4	
तं	4	
मै	4	
यां	4	
रै	4	
लें	4	
शू	4	
शें	4	
हीं	4	
7	3	
8	3	
चिं	3	
ञ	3	
ड़ुं	3	
थै	3	
नों	3	
पां	3	
बें	3	
वाँ	3	
किं	2	
कों	2	
खों	2	
घू	2	
झौ	2	
ढ़ुं	2	
तों	2	
तौ	2	
पिं	2	
फैं	2	
खू	1	
छं	1	
छां	1	
झुं	1	
टं	1	
ड़ां	1	
ड़ों	1	
ढां	1	
ढो	1	
दें	1	
धूं	1	
फं	1	
फों	1	
बौ	1	
भं	1	
भां	1	
शिं	1	
श्‍	1	
सां	1	
सों	1	
सौं	1	
