cluster	count	casing patterns
ا	31740	
ی	25516	
ے	16779	
و	13216	
ن	13013	
ر	12903	
ہ	11619	
ک	10843	
س	10422	
ں	10224	
ت	9869	
ل	7784	
ب	5382	
م	5021	
ݨ	4859	
پ	4124	
د	4107	
ج	3273	
ڑ	3094	
ئ	2977	
اُ	2939	
ح	2930	
چ	2577	
ھ	2283	
آ	2208	
اِ	2147	
گ	1980	
خ	1920	
ع	1872	
تُ	1785	
ض	1725	
ش	1696	
وِ	1378	
ط	1115	
ف	1077	
یٰ	1026	
ق	994	
اَ	976	
کِ	945	
فِ	784	
ز	733	
غ	712	
عِ	705	
ٹ	656	
پُ	637	
کُ	543	
مُ	531	
ص	491	
ڈ	469	
مِ	466	
جِ	455	
ہُ	447	
لّٰ	412	
ؤ	387	
دُ	382	
دِ	371	
کَ	338	
قُ	283	
سُ	281	
یُ	272	
رِ	231	
بُ	187	
سَ	185	
پَ	182	
ہِ	182	
مَ	180	
رُ	172	
سِ	166	
زِ	163	
خُ	155	
ظ	150	
بَ	145	
بِ	142	
نِ	138	
پِ	133	
ث	127	
دَ	122	
لِ	115	
رَ	111	
ٹُ	110	
ذ	107	
غُ	99	
خِ	95	
لُ	90	
شِ	86	
نّ	85	
چّ	79	
ھُ	76	
حُ	74	
عُ	72	
حِ	70	
نُ	66	
چِ	63	
چُ	62	
جُ	61	
نَ	56	
چَ	56	
تَ	55	
ھَ	53	
قِ	52	
گُ	49	
تِ	48	
ضُ	46	
لَ	46	
ھِ	43	
صِ	41	
عَ	41	
أ	38	
ئِ	38	
حَ	35	
0	34	
شُ	34	
وَ	34	
جَ	32	
ہَ	31	
فَ	29	
طُ	28	
بّ	27	
سّ	27	
صُ	25	
ٹّ	25	
یَ	24	
تّ	23	
گَ	22	
ڈُ	21	
زَ	20	
یّ	17	
ء	16	
ئَ	16	
5	15	
7	15	
ݨِ	15	
2	14	
طِ	14	
غَ	14	
گِ	14	
1	13	
خَ	13	
فُ	13	
9	12	
اً	12	
قَ	12	
یِ	12	
صَ	11	
صّ	11	
ٹِ	11	
3	10	
8	10	
زّ	10	
شَ	10	
جّ	9	
مّ	9	
ٹَ	9	
ڈَ	9	
کّ	9	
6	8	
4	7	
دّ	7	
ي	7	
ة	6	
ثؑ	6	
زُ	5	
وُ	5	
ہؑ	5	
ضِ	4	
ظُ	4	
لٰ	4	
ه	4	
یؑ	4	
بؑ	3	
غِ	3	
لّ	3	
وّ	3	
ڈّ	3	
ۂ	3	
جؑ	2	
ذِ	2	
سؑ	2	
طَ	2	
فؑ	2	
وَّ	2	
ؤُ	2	
ِ	2	
پَّ	2	
پّ	2	
ڈِ	2	
ݨَ	2	
اؓ	1	
حؑ	1	
رؑ	1	
شّ	1	
صَّ	1	
ضَ	1	
طؑ	1	
ـِ	1	
قؐ	1	
قؑ	1	
مؔ	1	
مٰ	1	
وٰ	1	
ٹَّ	1	
پُّ	1	
ڑَ	1	
ھّ	1	
ہٰ	1	
یِٰ	1	
