cluster	count	casing patterns
ന്	43234	
ക്	40830	
ത്	23120	
ന	20743	
മ്	16958	
അ	15687	
നാ	14310	
വാ	13940	
ല്	13258	
എ	11672	
ട്	11635	
ഗാ	10259	
ര്‌	9963	
ര്	9631	
കു	9279	
ത	8696	
പ	8616	
റ്	8399	
ള്‌	8060	
യ	7235	
സ്	6712	
ആ	6672	
സൊ	6574	
ള്	6441	
സാ	6326	
ദ്‌	6243	
നി	5977	
വ	5877	
ഇ	5864	
യി	5798	
ക്‌	5796	
ത്‌	5734	
മ	5654	
റാ	5623	
തെ	5432	
ണ്	5387	
യാ	5132	
മാ	5082	
കാ	5035	
താ	4774	
മി	4623	
ഡി	4511	
ല	4299	
ദ്	4286	
റ	4267	
ക	4039	
റ്‌	4008	
സ്‌	3914	
ഏ	3732	
സ	3632	
പ്	3601	
ഒ	3529	
ട	3529	
ലെ	3423	
ടി	3403	
ഡ്‌	3331	
ന്‌	3264	
ലാ	3245	
മു	3132	
ദി	3086	
പാ	3075	
റു	2853	
ഗേ	2827	
പ്‌	2810	
രി	2777	
കൊ	2763	
ലി	2762	
ബ	2728	
ഡാ	2722	
ദാ	2628	
സു	2593	
നെ	2512	
ഡു	2415	
ഡ	2351	
പോ	2268	
സെ	2255	
ലു	2236	
തി	2191	
ട്‌	2101	
ഗ	2082	
ബേ്	2077	
നേ	2069	
വു	2044	
ല്‌	1978	
ഡ്	1929	
ബെ	1928	
ടാ	1846	
ള	1800	
എ്	1794	
കെ്	1769	
പി	1742	
റി	1733	
രു	1611	
ഉ	1606	
ഡൊ	1504	
ബ്‌	1454	
ടു	1413	
കേ്	1399	
ഗു	1388	
ങ്	1358	
ളി	1327	
പെ്	1239	
സി	1218	
ഡേ	1211	
ദെ	1194	
നു	1194	
റെ	1187	
ര	1170	
രാ	1141	
ളാ	1100	
കി	1097	
നോ	1096	
നീ	1080	
ഈ	1063	
ദു	1026	
ളേ	1010	
മ്‌	978	
ലേ	960	
ബാ	939	
ദ	935	
സേ	935	
ഗി	912	
മെ	911	
റേ	891	
കെ	873	
ജാ	851	
ലോ	833	
കൂ	830	
ഞ്	824	
ദൊ	773	
ണാ	731	
ദേ	707	
മോ	679	
ബെ്	663	
സീ	629	
ബീ്	626	
ഗെ	623	
ണ	615	
പു	598	
തോ	592	
ജ	583	
ജു	580	
മേ	572	
ഓ	566	
തു	556	
ളു	544	
രെ	536	
ളെ	510	
ച്	494	
പൊ	494	
റൊ	487	
ണ്‌	470	
സോ	463	
ബി	456	
ഗ്‌	445	
രേ	421	
തീ	409	
റോ	403	
നൊ	402	
രോ	398	
തെ്	393	
ഇ്	389	
വെ	384	
മൂ	368	
ണി	354	
പെ	353	
ണേ	341	
ബു	325	
ദൂ	315	
കോ	310	
ഡെ	304	
ഏ്	300	
യോ	297	
മൊ	294	
വേ	293	
ചി	290	
പേ	288	
ടെ	283	
പൂ	279	
തേ	262	
ച്‌	241	
ബൂ	239	
ചോ	237	
ടേ	232	
ണെ	228	
ബേ	222	
വി	218	
ജ്	207	
വ്	204	
ളോ	200	
ദെ്	179	
ഊ	173	
ഗൊ	168	
ഗ്	166	
ച	164	
തൊ	162	
സൂ	159	
ഗെ്	157	
ജ്‌	154	
ദോ	151	
യു	149	
കീ	148	
കേ	148	
ജെ	131	
പീ	127	
ഗോ	123	
ണു	120	
ബൊ	112	
ഡോ	110	
ചാ	107	
ജി	106	
യൊ	96	
മെ്	90	
ലീ	89	
യെ	87	
ളൊ	81	
വീ	81	
യ്	77	
ജൂ	66	
രൊ	64	
നൂ	59	
യെ്	57	
മീ	51	
മീ്	48	
ചെ	47	
ബീ	45	
ചു	44	
വോ	42	
ലൊ	39	
ലൂ	34	
സെ്	34	
1	33	
ഗൂ	31	
റീ	30	
ലെ്	25	
വെ്	25	
ജേ	23	
നീ്	23	
ജൊ	22	
യേ	21	
തൂ	20	
ടോ	19	
വൂ	18	
ണെ്	17	
ബോ	17	
പീ്	16	
2	14	
3	13	
ജോ	13	
ണോ	11	
സീ്	11	
കീ്	10	
ചൊ	10	
പേ്	10	
ളെ്	10	
ഈ്	9	
ദേ്	9	
യ്‌	9	
ടൊ	8	
നെ്	8	
4	7	
ടൂ	7	
ണേ്	7	
ദീ	7	
യൂ	7	
രെ്	7	
ടെ്	6	
ഡീ	6	
ദീ്	6	
വൊ	6	
7	5	
8	5	
യീ	5	
റെ്	5	
സേ്	5	
0	4	
5	4	
ഡെ്	4	
ണൂ	4	
ബ്	4	
രൂ	4	
വ്‌	4	
ചെ്	3	
രീ	3	
6	2	
ഗീ	2	
ജീ	2	
ടീ	2	
ചീ	1	
ട്‍	1	
ത്‍	1	
മേ്	1	
രേ്	1	
റേ്	1	
ലേ്	1	
ഹാ	1	
