cluster	count	casing patterns
n	97656	
ə̀	95373	only_lower
ə	67427	only_lower
a	60096	
m	45331	
à	37758	
p	36990	
t	33075	
ɨ	32149	
w	31426	
ɨ̀	31242	
l	27851	
o	26858	
h	26842	
ŋ	26108	
u	23871	
b	23124	
s	23102	
ù	21680	
ʼ	21223	
y	20129	
g	19466	
k	19111	
i	15936	
r	14513	
z	13396	
e	12236	
ò	10091	
ẅ	7513	
d	7317	
ə̂	6109	only_lower
è	4978	
f	4630	
ì	4237	
c	3768	
â	3285	
ô	2474	only_lower
ǎ	2233	
û	2117	only_lower
ě	2112	only_lower
j	1788	
ə̌	1111	
ǹ	938	
ǔ	632	only_lower
î	401	only_lower
ɨ̂	222	only_lower
ɨ̌	205	only_lower
m̀	153	
ǐ	152	only_lower
n̂	110	
v	96	only_lower
1	65	
ǒ	52	only_lower
ŋ̀	39	
2	20	
m̂	18	
x	17	only_lower
3	13	
4	11	
5	9	
9	9	
q	7	only_lower
0	6	
6	6	
7	6	
ŋ̂	5	only_lower
8	4	
