cluster	count	casing patterns
n	147504	
i	121718	
a	102002	
t	79030	
k	78664	
h	78364	
j	63355	
s	49504	
e	49330	
c	45860	
o	45560	
x	36272	
í	31367	
r	30934	
á	28229	
ꞌ	25286	only_lower
u	24478	
ó	22288	
é	21554	
l	18712	
d	16478	
a̱	14214	
y	9763	
i̱	8240	only_lower
e̱	7313	only_lower
m	6972	
o̱	6412	
ñ	6000	only_lower
è	2162	only_lower
ú	1777	only_lower
p	1539	
ì	1442	
b	1051	
v	825	
g	680	
à	410	only_lower
f	410	
z	324	
ò	217	only_lower
q	66	
1	14	
2	13	
u̱	6	only_lower
4	5	
3	4	
0	3	
5	3	
6	3	
7	3	
8	3	
9	3	
ü	1	only_lower
