cluster	count	casing patterns
a	320991	
i	246866	
u	181516	
n	145814	
s	143803	
d	110371	
e	105109	
k	103312	
r	98015	
t	88660	
o	83064	
b	71727	
m	64551	
p	58800	
l	57443	
f	28273	
j	27646	
g	18263	
ñ	13654	
c	6198	
v	6010	
y	3027	
z	2624	
á	1613	
é	1605	
ŝ	1394	
ó	793	only_lower
ẑ	640	only_lower
0	554	
1	495	
2	458	
ŋ	272	only_lower
5	255	
3	229	
4	196	
í	190	only_lower
7	145	
6	135	
ú	123	only_lower
8	97	
9	92	
w	57	
â	20	only_lower
ê	3	only_lower
ô	3	only_lower
ã	1	only_lower
h	1	only_upper
x	1	only_lower
