cluster	count	casing patterns
n	21654	
g	15010	
v	8921	
a	7656	
s	7319	
à	7132	
m	6969	
e	5894	
r	4846	
t	4844	
ø	4716	only_lower
h	4465	
í	4463	
d	4325	
l	4250	
q	4114	only_lower
v̀	3867	only_lower
w	3674	
ì	3532	
k	3410	
è	3178	
ò	2733	only_lower
p	2675	
y	2668	
á	2534	only_lower
ø̀	2503	only_lower
i	2414	
v́	2313	
u	1796	only_lower
c	1466	
ǿ	1366	
b	1322	
o	1096	only_lower
ú	906	only_lower
z	897	
ó	566	
é	494	only_lower
ù	409	only_lower
j	251	
1	18	
0	14	
5	9	
2	7	
3	7	
f	5	
4	4	
6	3	
7	2	
8	1	
9	1	
