cluster	count	casing patterns
ا	75393	
ي	66388	
ن	41829	
س	17939	
ر	15979	
ذ	15679	
م	13893	
وْ	12755	
اَ	12562	
ث	11809	
و	11394	
وَ	9799	
مَ	8345	
أَ	7738	
نْ	6944	
نِّ	6451	
إِ	6449	
ڒ	6408	
غ	5913	
غَ	5485	
ش	5171	
ت	5050	
لْ	4529	
ح	4315	
رْ	4309	
ذَ	4282	
يِ	4227	
يَ	4197	
ذِ	4160	
ثْ	4153	
ب	4062	
مِ	4056	
تْ	3937	
خ	3808	
ڒْ	3785	
د	3757	
نِ	3655	
يْ	3654	
شَ	3580	
ڒَ	3551	
سْ	3271	
سَ	3246	
نّ	3232	
ف	3046	
نَّ	2839	
ك	2813	
رَ	2787	
عَ	2743	
سِ	2709	
عْ	2700	
ئِ	2685	
دْ	2677	
نَ	2667	
بَ	2657	
ع	2648	
مْ	2639	
عِ	2406	
ـ	2381	
زِ	2380	
بْ	2339	
ز	2253	
جّ	2246	
بِّ	2220	
قَ	2172	
لَ	2118	
ى	2053	
تَ	2014	
ݣ	2014	
رَّ	1959	
جَ	1848	
مُ	1847	
حْ	1818	
كِ	1809	
ؤُ	1783	
ق	1746	
تَّ	1643	
حَ	1623	
رِ	1569	
خْ	1553	
يُ	1534	
فَ	1532	
ٱ	1508	
ثَ	1480	
ج	1430	
ڒِ	1405	
رُ	1400	
بُ	1383	
خَ	1344	
لِ	1308	
ذْ	1307	
جِ	1304	
هَ	1304	
ضَ	1277	
ل	1224	
قَّ	1203	
نُ	1194	
ض	1168	
قْ	1115	
ثِ	1089	
زَّ	1050	
سّ	1050	
دَّ	1049	
طَّ	1024	
شْ	1020	
دّ	935	
شَّ	889	
زْ	870	
مَّ	869	
وِ	865	
ه	854	
جْ	849	
كَّ	844	
ݣّ	825	
فْ	803	
غْ	790	
تُ	747	
آ	732	
ص	727	
صَّ	704	
فِ	665	
رُّ	655	
لَّ	651	
أُ	648	
بِ	647	
سِّ	647	
ثُ	646	
تِ	643	
دِ	622	
مّ	621	
مِّ	608	
كَ	603	
سَّ	594	
هْ	586	
حِ	584	
شِّ	565	
شِ	562	
قّْ	550	
دَ	542	
زَ	529	
لُ	527	
قِّ	489	
مُّ	486	
وُ	471	
فُ	469	
سُ	460	
كُ	451	
كْ	443	
صِ	442	
دّْ	432	
كّ	430	
رِّ	425	
غِ	399	
قُ	394	
دُّ	392	
سّْ	382	
فَّ	381	
صْ	371	
لِّ	360	
ط	358	
قِ	354	
جَّ	351	
صَ	348	
طَ	337	
يّ	334	
شّ	327	
ݣَّ	321	
ݣّْ	318	
جّْ	316	
زُّ	315	
ݣِّ	307	
رّ	298	
هِ	297	
قّ	296	
رّْ	289	
يَّ	289	
خُّ	274	
ࢲْ	273	
طْ	266	
ظْ	228	
حُ	227	
فّ	225	
زّ	218	
ذُ	217	
خَّ	212	
بَّ	207	
شُ	207	
ضِ	192	
هُ	192	
بّ	189	
دُ	185	
ڒُ	178	
ࢲ	177	
وَّ	173	
ݣُّ	156	
طّ	154	
نُّ	154	
ݣْ	152	
خِ	151	
دِّ	150	
فّْ	150	
طّْ	148	
ضْ	144	
سُّ	141	
جِّ	140	
ݣَ	134	
تِّ	130	
هَّ	130	
ظَ	127	
مّْ	117	
تّ	110	
ࢲَ	108	
لّْ	106	
جُ	105	
غُ	104	
لّ	96	
شُّ	95	
يّْ	91	
نّْ	88	
بّْ	87	
كّْ	86	
طُ	84	
عّ	82	
عَّ	79	
زُ	78	
عّْ	76	
هّْ	72	
تُّ	71	
ݣِ	69	
زِّ	66	
عُ	64	
صُّ	63	
شّْ	62	
طِ	62	
بُّ	59	
صُ	59	
زّْ	58	
صِّ	58	
ضَّ	56	
لُّ	52	
جُّ	51	
حَّ	50	
هّ	48	
وّْ	48	
كِّ	47	
ࢲَّ	46	
إ	44	
صّ	44	
يِّ	44	
صّْ	41	
پَّ	40	
ࢲُّ	40	
خُ	39	
پُ	39	
ضُ	38	
طِّ	33	
ࢲُ	29	
حّْ	28	
ظِ	27	
ظ	24	
پَ	24	
وُّ	22	
وّ	20	
حّ	19	
ضُّ	17	
قُّ	17	
پْ	17	
ݣُ	16	
فُّ	13	
وِّ	12	
يُّ	12	
ء	11	
فِّ	11	
پ	11	
پِ	11	
طُّ	10	
كُّ	10	
عِّ	9	
پِّ	7	
ثّ	6	
هِّ	6	
ࢲِ	5	
اِ	4	
أ	4	
ظُّ	4	
هُّ	4	
ئَ	4	
ئ	4	
ثّْ	3	
غّ	3	
پُّ	3	
ࢲّ	3	
تّْ	2	
ضّْ	2	
ڤِ	2	
ءَ	1	
ءْ	1	
اَّ	1	
أَ‍	1	
ثَّ	1	
خِّ	1	
خّ	1	
ظَّ	1	
ظُ	1	
