cluster	count	casing patterns
ह	85374	
ङ	44309	
गी	22175	
ला	21206	
ये	17803	
या़	13126	
यि	12763	
या	11962	
ना	11931	
न	11908	
रा	11432	
ज्‍	10796	
न्‍	10566	
क्‍	10436	
ले	10310	
यो	10120	
म्‍	9811	
दी	9394	
च्‍	9097	
मा	8984	
ओ	8665	
बा	7663	
स्‍	7306	
सी	7026	
म	6816	
बु	6445	
ॱ	6342	
मि	5880	
ते	5528	
पे	5405	
दा	5176	
यी	5020	
ख्‍	4915	
पा	4679	
छ्	4663	
ङ्	4646	
ता	4164	
का	4116	
ङा	4036	
ती	3934	
म़े	3873	
की	3744	
गे	3724	
प्‍	3689	
ओ़	3639	
ल्‍	3559	
आ	3478	
यु	3412	
बे	3288	
एँ	3275	
मु	3178	
शू	3121	
दि	3107	
खु	3084	
र	3083	
ल़े	2829	
सु	2767	
कि	2748	
र्	2720	
यी़	2699	
ग्‍	2669	
कें	2574	
सा	2569	
प	2552	
ल	2426	
के	2404	
मे	2204	
था	1987	
सो	1977	
तो	1946	
य़े	1937	
खो	1911	
से	1814	
वा	1721	
य़ू	1658	
ति	1656	
जे	1632	
को	1549	
खा	1446	
ज़्‍	1446	
रो	1419	
स	1372	
नी	1303	
पु	1300	
थु	1289	
दो	1277	
लो	1038	
दे	1030	
फे	1003	
गा	998	
जा	994	
डो	969	
ली	941	
थो	924	
चो़	922	
लु	915	
ठि	905	
क	890	
य	856	
टा	854	
रि	790	
वो	788	
मो	775	
प्	761	
तु	743	
छो	738	
फा	731	
रु	719	
दु	696	
सि	689	
जी	658	
ता़	624	
ख़ू	606	
ए	605	
का़	603	
क़े	599	
बो	597	
ती़	550	
गो	524	
मी	520	
मा़	511	
छे	504	
मी़	499	
नि	492	
ङो	490	
उ	486	
फु	482	
अ	478	
व	478	
गु	469	
चा	466	
ज़ो	459	
थो़	457	
ज़ु	451	
हू	434	
कु	429	
हा	427	
मे़	423	
ये़	422	
से़	417	
नो़	395	
द	389	
डु	387	
छा	383	
चे	381	
री	380	
रे	374	
त्	368	
स़े	363	
थे	359	
चो	358	
लो़	357	
पी़	353	
पो	352	
नो	323	
ङो़	322	
रो़	307	
ठा	299	
लि	298	
फ़े	292	
नु	291	
टी़	289	
ब	285	
फि	279	
इ	277	
थे़	269	
फे़	269	
ह्‍	265	
यू	264	
ने़	258	
ची़	249	
ने	249	
ना़	248	
फ	237	
टा़	233	
त़े	228	
चि	227	
ज़ी़	223	
रू	223	
जो	222	
त	222	
हे	219	
टो	216	
टु	211	
चा़	209	
श	201	
पू	199	
डी	198	
छो़	189	
ब्	188	
ठी	187	
पा़	187	
शा	186	
ज़ि	180	
यो़	170	
टि	168	
सी़	168	
डे	163	
टी	159	
ल़ू	154	
पि	147	
छ़ू	145	
टे	145	
ला़	144	
ङे	140	
ऊ	137	
री़	136	
था़	134	
गो़	131	
स्	131	
थ़े	123	
थि	123	
रे़	119	
जु	117	
ठु	110	
कू	108	
खे	106	
ज	95	
य़ि	93	
डी़	89	
ङु	88	
चु	88	
च़ू	87	
ठा़	87	
डा	86	
ज़ा	85	
ग	82	
थी	82	
यू़	80	
बी	79	
यें	79	
हा़	76	
ते़	73	
फो़	71	
कू़	62	
ची	61	
ड	61	
ग्	60	
जे़	58	
तो़	58	
ऩे	57	
टे़	56	
खि	55	
दे़	55	
हो	55	
१	55	
को़	53	
कै	49	
छु	48	
थ़ू	48	
फ्	48	
फो	47	
ब्‍	47	
शि	47	
के़	46	
वी	45	
ठ़ू	44	
लू़	44	
ख	42	
ट	42	
जा़	41	
बि	40	
श्	40	
थ	39	
आ़	38	
डि	36	
पे़	34	
थू़	32	
लू	32	
५	32	
क़ू	31	
बा़	31	
ऱे	31	
शै	31	
क्	30	
६	29	
ई	28	
छा़	27	
जि	27	
तू	26	
पी	26	
हि	25	
जै	24	
सू़	24	
हु	24	
०	24	
२	24	
ङी़	21	
ड्	21	
त्‍	21	
द्	21	
फी़	21	
ट़ू	20	
ठी़	20	
फा़	20	
ठो	19	
ले़	19	
सा़	19	
३	19	
खू़	18	
छ़े	18	
टू़	18	
डा़	16	
तू़	16	
शे	16	
गि	14	
छी़	14	
रा़	14	
ली़	14	
खै	13	
४	13	
छे़	12	
ठू़	12	
ठो़	12	
छि	11	
जु़	10	
डे़	10	
ह्	10	
८	10	
९	10	
छ	9	
न्	9	
म्	9	
७	9	
की़	8	
खे़	8	
जू	8	
पो़	8	
रू़	8	
र्‍	8	
लौ	8	
उँ	7	
ख़े	7	
नै	7	
छू़	6	
मू	6	
मै	6	
ङे़	5	
ज़े	5	
ज़ो़	5	
णा	5	
भ	5	
वे	5	
शो	5	
हँ	5	
चे़	4	
णि	4	
बी़	4	
श्‍	4	
ष	4	
षा	4	
इँ	3	
जौ	3	
ज्‍़	3	
पौ	3	
फी	3	
फ्‍	3	
बू	3	
बे़	3	
य़ा़	3	
य़ो	3	
सो़	3	
ि	3	
किं	2	
गें	2	
गै	2	
चू़	2	
झ्‍	2	
टो़	2	
ठे	2	
दू	2	
प़े	2	
फू	2	
बाँ	2	
व्‍	2	
ष्‍	2	
आँ	1	
उ़	1	
ख्	1	
घू	1	
ङा़	1	
छू	1	
ज़्	1	
ट़े	1	
टू	1	
ट्	1	
डुँ	1	
ढा	1	
थी़	1	
थ्	1	
दा़	1	
फू़	1	
फै	1	
य़ा	1	
य्‍	1	
वि	1	
सिं	1	
सूँ	1	
