cluster	count	casing patterns
i	211129	
n	172712	
a	115630	
ɛ	108588	
l	96193	
e	80948	
u	77017	
k	75787	
w	66006	
y	65382	
g	57826	
è	57599	
ɔ	49524	
b	48971	
m	48723	
r	48627	only_lower
p	45210	
ʔ	42406	
s	40764	
ɛ́	36891	only_lower
í	31472	only_lower
t	31266	
o	30400	
à	26897	
ì	24703	only_lower
d	20782	
c	20582	
ɛ̀	20178	only_lower
á	18868	
f	18058	
ī	15837	only_lower
é	14844	only_lower
j	12435	
ɛ̄	12074	only_lower
ú	8489	only_lower
z	7415	
ù	7397	only_lower
ŋ	4878	
ò	3809	only_lower
ē	3103	
ɔ̀	3049	only_lower
ɔ́	2842	only_lower
ó	2627	only_lower
ǎ	1157	only_lower
v	961	
ǐ	862	only_lower
ɛ̂	757	only_lower
0	637	
ń	537	only_lower
1	448	
î	429	only_lower
2	228	
3	165	
4	146	
5	140	
ɛ̌	106	only_lower
ě	101	only_lower
6	98	
7	79	
8	73	
9	57	
ê	31	only_lower
ɔ̌	13	only_lower
â	10	only_lower
h	5	only_lower
