cluster	count	casing patterns
a	506794	
i	195780	
e	180266	
p	151082	
r	149693	
ꞌ	123732	only_lower
ã	95788	
m	87515	
d	82964	
t	72827	
k	71449	
ɨ	61294	
j	59201	
o	59089	
u	54931	
c	48990	
n	47427	
h	42696	
b	36430	
w	28441	
s	23302	
õ	16149	
g	13116	
ĩ	12466	
l	10429	
y	7470	
á	6690	
ɨ̃	6150	
ẽ	4212	
ũ	3542	
ë	2562	
v	2305	
ú	1929	only_lower
é	1908	
í	1688	only_lower
ɨ́	1665	only_lower
f	1485	
ó	1106	
z	805	
1	746	
q	461	
2	378	
ñ	372	only_lower
ã́	245	only_lower
3	204	
ʼ	172	
4	162	
5	151	
6	139	
x	119	
0	111	
9	110	
8	104	
7	89	
ë́	42	only_lower
ɨ̃́	36	only_lower
ẽ́	4	only_lower
ĩ́	4	only_lower
ṍ	4	only_lower
