cluster	count	casing patterns
a	98180	
ɨ	50948	
d	49244	
n	43068	
g	35119	
i	32850	
m	32253	
ə	32078	
e	26937	
w	26691	
r	20187	
b	18588	
l	17511	
y	15745	
u	11604	
s	11157	
o	9671	
c	7737	
h	7349	
j	6786	
n̰	6770	
k	5453	
r̰	5423	only_lower
t	3933	
ꞌ	3905	only_lower
à	3784	
á	2627	
ã	2378	only_lower
p	2336	
ĩ	2235	only_lower
ɗ	1948	
ù	849	
ɓ	743	
ɨ́	450	only_lower
õ	267	only_lower
ɨ̀	252	only_lower
ú	231	only_lower
ə̀	152	only_lower
ə́	105	only_lower
ò	104	only_lower
ó	76	only_lower
ā	56	
1	38	
é	36	only_lower
ẽ	33	only_lower
0	24	
3	23	
ì	23	only_lower
2	21	
è	20	only_lower
4	15	
5	12	
ō	10	only_lower
ū	10	only_lower
8	9	
9	9	
6	8	
í	5	only_lower
7	4	
ə̄	4	only_lower
ē	3	only_lower
v	1	only_lower
