cluster	count
क्‍	101185
र	79124
इ	78557
म	75667
आ	56589
न	51666
क	46250
ब	43814
नु	43335
बा	40754
शो	40184
प	39122
मे	36947
त	36635
ली	36562
मी	36504
को	36015
मा	29736
पा	28332
ती	25997
ल	25249
शा	24390
मि	23982
म्‍	23744
नी	22458
प्	21779
ल्‍	21714
ना	20223
स	20103
या	20057
गे	19359
मु	19041
ङा	18789
चा	18632
१	17920
की	17062
रा	17033
ह	17016
य	16610
ने	16043
भु	15778
रे	14549
दें	14289
पु	13947
व़	13700
२	12423
वे	12307
दे	12005
आं	11928
श्‍	11721
के	11537
लो	11111
ये	10821
ए	10435
प्‍	10359
ता	10138
गो	10069
दा	9738
सु	9714
यो	9680
ले	9569
का	9419
ङ	9034
ला	8886
सा	8883
च	8374
न्‍	8222
दु	7959
ते	7759
थ	7594
अ	7513
वा	7494
श	7467
से	7463
मो	7387
र्	7061
३	6982
जा	6908
ब्	6762
तु	6686
रि	6667
सी	6558
गी	6295
ग्	6165
स्‍	5890
रु	5876
४	5568
गा	5425
ज	5390
खो	5311
पि	4977
५	4814
ठे	4590
रो	4501
री	4466
व	4366
द	4251
था	4243
बे	4242
कु	4051
फ	4010
०	4003
ब्‍	3988
६	3943
सो	3903
खिं	3877
७	3776
ङों	3714
रू	3607
रों	3595
नो	3586
ग्‍	3563
शु	3508
दो	3482
नि	3448
तौ	3425
ढ़े	3370
शी	3262
नें	3244
८	3165
हि	3146
९	3110
त्	3098
डा	3025
हा	3011
स्	2991
त्‍	2924
दी	2842
ग	2822
ख्	2763
शें	2760
वो	2758
पुं	2517
हिं	2448
थुं	2394
ति	2335
बो	2325
ओ	2289
गु	2144
बु	2109
हो	1986
उ	1963
चो	1919
थु	1908
बी	1707
हु	1686
ख	1650
हू	1649
जो	1636
फा	1629
जी	1619
वी	1602
ठी	1553
यु	1478
लु	1473
क्	1407
रां	1404
सि	1394
हे	1352
तो	1349
ऊ	1340
खा	1321
शे	1250
थि	1247
कि	1246
लां	1235
थी	1174
टा	1172
कों	1168
ट	1143
चि	1127
पी	1117
सै	1105
दि	1087
टी	1086
सां	1084
थो	1038
सं	1011
भ	1002
शि	979
पो	972
यी	970
ङो	951
ड	932
यू	927
गि	916
फु	916
खु	895
छे	886
ची	847
खे	845
इं	842
ज्‍	841
लें	832
ओं	821
तू	796
कू	779
वों	772
फे	763
फ्	762
रुं	711
सें	707
लि	706
थे	697
क्‍‍	691
डां	685
द्	645
जि	635
भा	631
मू	619
जे	573
लू	573
ही	568
टि	561
य्‍	556
इ‍	553
चां	551
छि	518
फि	503
भे	494
शों	471
ठा	470
नां	439
च्‍	434
बि	429
दू	403
पू	396
पे	393
यि	357
फो	350
चे	346
रें	329
चु	322
छ	316
ङी	298
हें	294
किं	283
ठ	281
दिं	281
कां	275
छा	258
धा	246
तां	243
पां	242
रिं	238
धी	236
शां	236
जु	226
म्‍‍	224
युं	221
डी	215
ठि	214
धि	196
छी	189
उं	177
ज्	177
खि	168
प्‍‍	161
ख्‍	160
धू	159
हां	159
डो	153
वां	152
दें‍	148
म्	147
खी	141
ध	135
फी	132
भो	131
थि‍	121
ढे	120
डों	116
बों	115
टु	109
टे	106
कै	104
तुं	103
यों	102
श्‍‍	102
ल्‍‍	100
बें	92
ङां	89
घां	88
थ्	84
फू	82
बुं	81
ङे	76
फ्‍	74
चू	72
ऐ	71
में	67
श्	67
गे‍	66
प‍	64
खू	60
चौ	60
गें	59
बू	59
ल‍	58
छु	55
थ्‍	53
नै	53
ल्	52
व्‍	52
पिं	51
झो	50
ङु	49
नी‍	48
र‍	45
औं	43
ढु	43
जू	40
झे	39
सू	37
ले‍	36
धो	35
ता‍	33
लिं	33
त्‍‍	32
फुं	32
गै	31
नू	31
रा‍	29
शुं	29
शै	29
थै	28
गिं	27
घू	27
नौ	27
ब्‍‍	27
घ	26
तों	26
क‍	25
सी‍	25
ती‍	24
थिं	24
फां	24
खां	23
त‍	23
द‍	23
भू	23
ढो	22
थां	22
डे	21
दी‍	20
चों	19
ग‍	18
थें	18
दि‍	18
न्	18
फौ	18
रे‍	18
सों	18
जों	17
दां	17
रू‍	17
सुं	17
खै	16
जै	16
थू	16
दै	16
युं‍	16
दा‍	15
पा‍	15
पौ	15
शिं	15
न‍	14
ली‍	14
री‍	13
कुं	12
ठु	12
नें‍	12
न्‍‍	12
मै	12
व़‍	12
शें‍	12
सा‍	12
है	12
ई	11
जौं	11
ज‍	11
तै	11
दु‍	11
य्‍‍	11
स‍	11
हें‍	11
इ‍‍	10
कौ	10
क्‍‍‍	10
मों	10
म‍	10
रै	10
