cluster	count
র	46785
ই	35166
আ	23816
ন	21204
ক	20784
লা	18710
ম	16805
রা	16102
তা	15193
য়া	14228
অ	13210
মা	13186
উ	12482
ল	11991
ত	10408
রে	10198
বা	9629
না	9498
য়	9274
ও	7596
ব	6974
নি	6644
জ	6153
রি	6101
দি	5872
তু	5369
ছ	5133
খা	4967
কা	4953
পা	4943
প	4921
হ	4817
মি	4615
দে	4561
এ	4557
ছা	4451
লে	4202
ন্	4104
গে	3896
দ	3875
জা	3788
তে	3559
গি	3479
কি	3350
লি	3338
দা	3334
তো	3186
যে	3153
কু	3061
ল্	2994
খ	2933
স	2890
ছে	2825
বি	2690
বে	2675
হা	2638
থা	2605
হু	2534
শ	2501
নু	2493
মু	2446
নে	2413
ছি	2201
গ	2105
গা	2068
তি	2067
লো	2023
যা	1957
ফ	1884
জি	1810
সা	1790
চা	1779
দু	1740
রো	1737
ষ	1717
রু	1686
বু	1678
নো	1606
কে	1491
হে	1454
জে	1449
টা	1445
গু	1437
খু	1381
বো	1365
ক্	1296
স্	1282
ভা	1244
হি	1202
শা	1166
জু	1130
টি	1118
ড়া	1089
পু	1072
মে	1061
ড়	1056
ড়ি	1039
ফি	974
র্	969
য	927
খি	881
শি	875
চ	865
সী	856
ধ	853
খে	808
চি	789
ষে	781
যু	685
য়ে	681
ট	675
লু	671
থ	655
ফা	616
পি	604
বী	557
ব্	544
ছো	537
ঘ	536
ম্	527
ঠি	458
ত্	451
দ্	451
ঠা	400
ধা	379
ছু	370
ভ	367
চ্	357
ভি	354
ডা	351
সু	342
দো	331
মো	330
ড	317
সি	305
ষ্	274
যি	270
জ্	267
ফে	246
শু	241
গো	232
ষি	230
ফু	216
ভু	216
টে	198
শে	194
রং	190
ষা	189
সো	182
পে	179
শো	179
থি	175
থে	167
তৌ	150
চু	145
টু	139
য্	136
খো	135
থু	118
ঞ্	114
প্	113
ঠ	112
ঘু	106
চে	105
ধে	94
ধি	93
যো	91
নী	88
আং	82
ফ্	78
মৌ	78
য়ী	78
টো	74
ধু	69
ইং	67
দৌ	65
ভাং	65
ড়ে	61
ড়ো	60
জো	57
দী	57
গৌ	56
গ্	56
য়ি	54
ঘো	53
শ্	53
অং	49
কো	49
জং	49
ধ্	49
ঘি	48
ডু	47
ধী	43
রী	43
মাং	42
১	42
ট্	41
ষো	40
ঠে	39
সে	39
কৈ	37
মী	37
ঘা	36
শৌ	36
০	36
য়ো	35
ঠো	34
তী	34
গাং	33
ফো	33
ডি	32
কী	31
থো	31
পী	31
পৌ	30
সং	30
ডে	29
ঢা	29
শিং	28
হী	28
২	28
পো	27
ঝা	26
হিং	25
ভে	24
লী	24
ʼ	22
ত্‍	22
বং	22
বৈ	22
চৌ	20
লেং	18
৩	18
৫	18
৬	18
ড্	17
ঠু	15
তৈ	15
বাং	15
য়ং	15
পং	14
ভৈ	14
লং	14
৭	14
জী	13
ঢে	13
ধো	13
শী	13
সিং	13
হুং	13
৪	13
কাং	12
ফৌ	12
ঙ	11
ছিং	11
হাং	11
৮	11
ঘে	10
ধৈ	10
হো	10
ডেং	9
ঝ	8
ভী	8
হৈ	8
টী	7
ধং	7
টং	6
হূ	6
ঐ	5
ঘুং	5
ফৈ	5
হং	5
উং	4
ছী	4
টেং	4
ফী	4
ভো	4
৯	4
খৈ	3
গী	3
ঠেং	3
ণী	3
ভং	3
কিং	2
খ্	2
ঘ্	2
ঙা	2
চো	2
টাং	2
ডং	2
ড়ু	2
ডিং	2
দাং	2
য়ু	2
যৌ	2
রিং	2
শৃং	2
ষু	2
সাং	2
সৃ	2
কৃ	1
কৌ	1
খী	1
ঙে	1
ঙ্	1
চাং	1
ঝি	1
ঝু	1
ঞা	1
ঢং	1
ঢু	1
ণ্	1
থী	1
থ্	1
দৈ	1
নূ	1
পাং	1
পিং	1
ফুং	1
ফ্‌	1
ভিং	1
যী	1
লাং	1
শং	1
সৈ	1
ৎ	1
