cluster	count	casing patterns
ꠞ	79284	
ꠀ	57966	
ꠁ	50715	
ꠅ	40793	
ꠘ	35253	
ꠇ	31519	
ꠟꠣ	28453	
ꠝ	26033	
ꠞꠣ	25302	
ꠔꠣ	23493	
ꠄ	22603	
ꠟ	22103	
ꠝꠣ	21915	
ꠔ	20398	
ꠃ	19785	
ꠛꠣ	16820	
ꠞꠦ	15513	
ꠘꠣ	15130	
ꠛ	13611	
ꠘꠤ	11456	
ꠡ	11332	
ꠎ	10032	
ꠖꠤ	9539	
ꠞꠤ	9378	
ꠎꠣ	9345	
ꠔꠥ	9180	
ꠙ	8259	
ꠖꠦ	8016	
ꠍ	7796	
ꠖ	7792	
ꠙꠣ	7767	
ꠈꠣ	7689	
ꠝꠤ	7501	
ꠇꠣ	7376	
ꠢ	7175	
ꠍꠣ	7044	
ꠘ꠆	6595	
ꠎꠦ	6481	
ꠟꠦ	5960	
ꠉꠦ	5769	
ꠖꠣ	5749	
ꠇꠥ	5707	
ꠔꠦ	5545	
ꠉꠤ	5351	
ꠛꠤ	5161	
ꠇꠤ	5137	
ꠟꠤ	4855	
ꠟ꠆	4355	
ꠈ	4339	
ꠍꠤ	4339	
ꠢꠣ	4215	
ꠛꠦ	4140	
ꠝꠥ	4103	
ꠕꠣ	4064	
ꠢꠥ	3995	
ꠛꠥ	3965	
ꠘꠦ	3964	
ꠍꠦ	3954	
ꠘꠥ	3942	
ꠡꠣ	3933	
ꠉ	3718	
ꠉꠣ	3592	
ꠚ	3555	
ꠔꠤ	3542	
ꠉꠥ	3225	
ꠖꠥ	3224	
ꠎꠤ	3056	
ꠞꠥ	3041	
ꠌꠣ	2852	
ꠎꠥ	2819	
ꠐꠣ	2535	
ꠙꠥ	2337	
ꠇꠦ	2303	
ꠡ꠆	2286	
ꠈꠥ	2172	
ꠢꠦ	2164	
ꠝꠦ	2045	
ꠍꠂ	2019	
ꠢꠤ	2005	
ꠇ꠆	1996	
ꠐꠤ	1973	
ꠡꠤ	1946	
ꠠꠣ	1891	
ꠜꠣ	1880	
ꠠꠤ	1836	
ꠠ	1714	
ꠌ	1585	
ꠚꠤ	1561	
ꠞ꠆	1524	
ꠈꠤ	1452	
ꠡꠦ	1421	
ꠡꠥ	1369	
ꠔ꠆	1365	
ꠐ	1267	
ꠗ	1233	
ꠈꠦ	1159	
ꠌꠤ	1140	
ꠝ꠆	1035	
ꠟꠥ	1031	
ꠕ	967	
ꠚꠣ	929	
ꠛ꠆	902	
ꠙꠤ	900	
ꠊ	891	
ꠍꠥ	807	
ꠑꠤ	692	
ꠖ꠆	674	
ꠗꠣ	661	
ꠜ	582	
ꠜꠤ	581	
ꠌ꠆	575	
ꠞꠂ	571	
ꠑꠣ	561	
ꠎ꠆	559	
ꠒꠣ	552	
ꠚꠦ	501	
ꠒ	480	
ꠚꠥ	397	
ꠌꠥ	373	
ꠙꠦ	336	
ꠜꠥ	331	
ꠐꠦ	301	
ꠀꠂ	265	
ꠕꠦ	256	
ꠊꠥ	248	
ꠐꠥ	237	
ꠞꠋ	236	
ꠑ	214	
ꠕꠤ	214	
ꠀꠋ	196	
ꠙ꠆	185	
ꠕꠥ	181	
ꠗꠤ	180	
ꠛꠋ	170	
ꠌꠦ	168	
ꠅꠋ	159	
꠩	153	
ꠇꠂ	138	
ʼ	133	
ꠘꠂ	126	
ꠉꠣꠋ	123	
ꠗꠥ	122	
ꠜꠣꠋ	119	
ꠠꠦ	99	
