cluster	count	casing patterns
क्	26671	
इ	26301	
या	24016	
ला	21825	
ङ	16139	
यो	13505	
ओः	13113	
ले	11570	
लाः	10515	
दी	10384	
ङ्	10229	
रा	9871	
क	9062	
न्	8893	
म	8495	
एः	7898	
सी	7709	
न	7623	
खु	7528	
र्	7219	
म्	6811	
ना	6630	
ख्	6183	
गी	6107	
ज्	5876	
मीः	5872	
पेः	5667	
र	5573	
के	5212	
ल्	4849	
ती	4817	
बा	4729	
याः	4586	
बु	4507	
ची	4347	
जे	4279	
ता	4277	
ङाः	4123	
ङ्‍	4098	
ते	3818	
च्	3772	
से	3686	
इः	3670	
ङे	3566	
प्	3467	
को	3359	
गा	3280	
ए	3216	
सा	3215	
मा	3207	
गे	3192	
ये	2948	
राः	2941	
पा	2913	
काः	2835	
यु	2635	
माः	2571	
था	2562	
शु	2520	
की	2502	
दा	2487	
खो	2199	
स्	2183	
सु	2152	
लेः	2100	
री	2037	
तेः	1950	
छ्‍	1823	
मु	1819	
उ	1782	
ल	1778	
ङीः	1750	
ङी	1745	
प	1717	
डु	1714	
म्‍	1709	
का	1652	
ग	1647	
मेः	1636	
कोः	1632	
आ	1615	
स	1606	
ली	1561	
खा	1504	
हु	1482	
जा	1481	
जी	1478	
ताः	1472	
सो	1408	
तोः	1258	
उः	1242	
नाः	1241	
लु	1234	
नी	1227	
योः	1203	
बो	1199	
पु	1185	
चे	1154	
रु	1107	
य	1096	
दो	1061	
कु	1054	
दे	1050	
रे	1037	
युः	1005	
चा	1001	
जो	982	
ट	946	
त	928	
लो	918	
थो	886	
व	870	
वा	864	
ष्	863	
साः	862	
भु	846	
छो	834	
ठी	833	
गो	825	
मी	799	
बे	784	
तुः	755	
सीः	752	
डो	747	
गु	715	
ग्	709	
हा	705	
प्‍	694	
अ	691	
ह	688	
दु	674	
मो	667	
जु	641	
थु	641	
पुः	581	
फी	578	
छा	576	
तीः	574	
हे	572	
छे	568	
ब	552	
पीः	551	
त्	545	
नोः	542	
रुः	535	
केः	533	
थे	529	
डी	497	
ङा	495	
खी	464	
टाः	435	
फा	435	
लोः	433	
भ	430	
पोः	424	
मे	414	
ठा	404	
फ्	402	
खे	392	
श	392	
द	379	
पे	355	
रो	350	
टीः	340	
ब्	315	
रोः	313	
तो	292	
ज	283	
ङोः	276	
उँ	263	
थ	262	
टेः	254	
चो	249	
ड	249	
न्‍	249	
रीः	249	
ने	243	
डे	239	
फु	235	
बी	234	
शा	232	
टा	231	
क्‍	220	
ध	217	
ल्‍	198	
पो	193	
ञा	191	
ण्	190	
सुः	190	
ही	190	
फे	188	
वी	179	
पी	177	
नु	172	
रेः	168	
कुः	164	
लुः	162	
सेः	161	
य्	158	
च	145	
ख	142	
द्	141	
तु	140	
ष	135	
टोः	127	
फ	127	
शै	126	
टी	124	
टुः	120	
छु	115	
ऊ	114	
ठु	110	
थी	105	
पाः	104	
घ	101	
चु	98	
छी	96	
नेः	95	
व्	94	
शी	89	
मोः	86	
षा	85	
भी	83	
भा	81	
चुः	80	
शं	76	
ओ	74	
षे	72	
कै	68	
णी	63	
ण	62	
नो	62	
वाः	58	
ङुः	56	
टो	53	
डा	51	
हो	47	
श्	46	
चीः	45	
यी	45	
भे	43	
वाँ	42	
ङु	41	
नीः	39	
फो	38	
टु	37	
जाँ	34	
काँः	32	
वे	31	
आः	30	
टे	29	
ह्	29	
लीः	27	
सोः	26	
धै	25	
नुः	24	
चेः	23	
जै	23	
मुः	23	
मौ	23	
धा	21	
ट्‍	18	
णा	17	
मृ	17	
खै	15	
ड्‍	15	
ध्	15	
सं	15	
१	15	
खुँ	13	
श्‍	13	
छ	12	
ड्	12	
बै	12	
ङो	11	
फोँ	11	
षी	11	
ट्	10	
धी	10	
सीं	10	
२	10	
चाः	9	
लौ	9	
शे	9	
ऊँ	7	
घु	7	
ढी	7	
ढ्	7	
३	7	
५	7	
अं	6	
कृ	6	
मै	6	
ठ	5	
नै	5	
पुं	5	
पौ	5	
०	5	
काँ	4	
येः	4	
गैँ	3	
गैं	3	
छाँ	3	
जौ	3	
ढा	3	
दीः	3	
भ्	3	
शां	3	
शो	3	
हँ	3	
४	3	
इँ	2	
ई	2	
कीं	2	
गै	2	
ग्‍	2	
घो	2	
ङेः	2	
झ्	2	
ञ्	2	
ठीं	2	
ठे	2	
ठो	2	
ठ्‍	2	
ढु	2	
तौ	2	
साँ	2	
सृ	2	
सै	2	
हौ	2	
७	2	
८	2	
अँ	1	
गौ	1	
घृ	1	
च्‍	1	
झा	1	
झु	1	
झे	1	
टै	1	
थ्	1	
दौ	1	
धु	1	
फौ	1	
रौं	1	
र्‍	1	
ष्‍	1	
हाँ	1	
हुँ	1	
