cluster	count	casing patterns
बा	26762	
ला	22778	
र	18118	
न	18004	
से	16966	
दे	16002	
न्‍	14896	
म	13848	
ग	13841	
ल	13243	
दा	12083	
री	11449	
सी	11330	
म्‍	10985	
या	9696	
थे	9455	
ङ	8740	
हि	7864	
ना	7649	
मा	7557	
भि	7470	
ङ्	7341	
नी	7123	
मु	7103	
इ	6464	
स	6419	
त	6357	
ह्	6339	
प	6320	
आ	5911	
ए	5592	
जी	5530	
ग्‍	5373	
रा	5261	
व	5200	
श्‍	5072	
ङा	4957	
च्‍	4730	
मे	4589	
ता	4512	
ज	4190	
ख	3730	
नो	3685	
हा	3652	
चु	3441	
ति	3346	
हे	3204	
शू	3120	
ये	3118	
ओ	3047	
स्‍	3041	
क	3031	
र्	2999	
ह	2972	
छे	2962	
ल्‍	2847	
य	2773	
पा	2690	
य्‍	2652	
रे	2344	
था	2298	
ङ्‌	2196	
पि	2168	
गि	2160	
वा	2006	
अ	2005	
छ्‌	1956	
प्‍	1935	
ब	1904	
नि	1712	
उ	1708	
चा	1688	
छा	1679	
खा	1633	
गो	1627	
गे	1500	
ज्‍	1450	
रि	1437	
म्	1406	
यो	1375	
दो	1323	
सा	1322	
श	1280	
लि	1270	
गै	1253	
हु	1248	
भ्	1245	
चि	1191	
सु	1182	
ट	1164	
प्	1153	
वि	1123	
क्‍	1119	
ख्	1073	
रु	1014	
धु	1009	
सि	999	
हो	985	
ध	981	
च	972	
क्	967	
द	961	
रो	953	
को	951	
जु	942	
धो	933	
ष्‍	932	
दि	919	
ले	917	
बु	874	
भ	867	
गु	865	
तोः	815	
का	811	
लो	807	
भु	780	
यु	780	
पु	769	
फे	761	
धि	757	
कु	692	
थेः	676	
थो	670	
सो	668	
त्‍	660	
मो	650	
हू	640	
जा	630	
ङ्‍	604	
चे	603	
जे	598	
ली	596	
फ	594	
ते	591	
लै	591	
दु	578	
जि	575	
सै	567	
मी	547	
त्	538	
झा	534	
बो	532	
ब्‍	532	
घ्	528	
ही	519	
शा	517	
दोः	508	
दी	502	
गा	478	
कि	468	
भो	464	
टि	441	
थ	435	
ठि	429	
ड	420	
बि	412	
ख्‍	411	
ट्	405	
लु	369	
पू	353	
द्	346	
घो	344	
जो	309	
मै	301	
मि	296	
बे	294	
तो	284	
नु	283	
ठी	274	
ण्‍	265	
ब्	257	
झ	253	
यू	241	
फु	240	
ष	234	
ती	232	
दू	232	
फ्‍	229	
रू	219	
फा	213	
थु	212	
पो	203	
ढ	197	
रेः	194	
ङो	192	
ढि	190	
खे	174	
तु	168	
टा	163	
खो	161	
ञ्‍	160	
घ	153	
चो	152	
ने	152	
शै	139	
झ्‍	138	
फि	138	
ऊ	130	
भ्‍	128	
शि	127	
मू	122	
पी	114	
स्	112	
ङ‍	108	
ज्	108	
ञा	108	
कू	107	
छो	107	
खि	105	
फो	103	
की	102	
ची	102	
टी	101	
व्‍	94	
आँ	93	
ढु	92	
डा	89	
डो	85	
थी	81	
के	80	
ढ्	74	
तेः	74	
श्	73	
ठा	70	
दोँ	69	
ठो	67	
बै	67	
खी	63	
कै	61	
पेः	61	
ढा	60	
भे	58	
टाँ	54	
घ्‍	52	
ग्	51	
भा	50	
वं	49	
छ	44	
धी	44	
छि	43	
टो	43	
धा	43	
लेः	41	
न‍	40	
डी	36	
टु	35	
ण	34	
चू	32	
खु	31	
सं	31	
छ्‍	30	
वी	30	
शु	30	
हाँ	29	
णी	28	
बी	25	
षी	25	
डि	24	
धू	24	
तू	23	
थि	23	
फ्	22	
बाँ	22	
जै	21	
याँ	21	
छु	20	
डु	20	
केः	18	
खाँ	18	
टे	17	
डे	17	
साँ	17	
ढे	16	
मौ	16	
शी	16	
पे	15	
ध्‍	14	
शे	14	
जू	13	
झु	13	
ठ	13	
ड्	13	
तै	13	
पुं	13	
यि	13	
गी	12	
हँ	12	
१	12	
खै	11	
छै	11	
सू	11	
झो	10	
ठे	10	
लौ	10	
ङ्‍‌	9	
ङ‌	9	
ढी	9	
लू	9	
चौ	8	
ई	7	
ऊँ	7	
घु	7	
दाँ	7	
र्‍	7	
गैँ	6	
छी	6	
जौ	6	
ठ्	6	
ढ्‍	6	
णा	6	
ती‍	6	
नै	6	
मेः	6	
री‍	6	
वाँ	6	
इँ	5	
ऐ	5	
काँ	5	
त‍	5	
शो	5	
सेः	5	
ङेः	4	
झि	4	
ठु	4	
णि	4	
तेः‍	4	
नौ	4	
बैं	4	
३	4	
अं	3	
किं	3	
घे	3	
ङे	3	
डूँ	3	
धा‍	3	
पाँ	3	
पौ	3	
बू	3	
यो‍	3	
वे	3	
०	3	
२	3	
६	3	
उँ	2	
घा	2	
ङै	2	
ङ्‍‍	2	
छाँ	2	
ठिँ	2	
डाँ	2	
दो‍	2	
फी	2	
फू	2	
म‍	2	
ल्	2	
व्	2	
हेः	2	
७	2	
८	2	
९	2	
औं	1	
कौ	1	
झी	1	
झू	1	
टू	1	
ट्‌	1	
ट्‍	1	
ढ्‌	1	
थू	1	
थ्	1	
न्	1	
न्‍‍	1	
प‍	1	
फेः	1	
बु‍	1	
भी	1	
म्‍‍‍	1	
येः	1	
रौ	1	
र्‌	1	
र‍	1	
लो‍	1	
ल‍	1	
श्‍‍	1	
सा‍	1	
सिं	1	
सोँ	1	
स्‍‍	1	
हुँ	1	
है	1	
५	1	
