cluster	count	casing patterns
a	162542	
u	82542	
e	82522	
i	80435	
n	75191	
b	70546	
m	55521	
k	45731	
r	42583	
o	40870	
s	37386	
w	35816	
y	29504	
l	27509	
h	27458	
t	23890	
á	19593	
g	16351	only_lower
c	14196	
d	13778	only_lower
é	5500	
j	5133	only_lower
à	4435	
f	2944	
ú	2097	
ù	1896	
ê	1644	
ì	1498	
í	1497	
p	1291	
z	1022	only_lower
ě	838	
ô	777	
â	757	
v	701	only_lower
ó	521	
è	463	
ǎ	401	
î	223	only_lower
û	135	only_lower
1	73	
ò	66	
ǔ	45	
ǒ	36	only_lower
2	29	
ǐ	22	only_lower
3	20	
4	14	
0	13	
5	13	
9	12	
8	10	
6	9	
7	9	
