cluster	count	casing patterns
a	747792	
x	464207	only_lower
ü	453306	
n	383297	
g	302221	
r	275385	
c	212261	
u	210507	
m	201782	
e	191435	
ü̃	189448	
i	181825	
t	146439	
h	95680	only_lower
y	94108	
p	71966	
ẽ	71294	
o	69161	
ã	52875	
w	51816	
a̱	41772	only_lower
á	37591	
ĩ	35562	
d	34211	
ñ	25220	
í	23392	
é	22604	
b	13981	
ũ	10584	
u̱	9351	only_lower
ó	9044	
ú	7451	
e̱	7283	only_lower
ẽ̱	6920	
ã̱	5626	only_lower
ü̃́	5150	only_lower
q	4746	
0	2671	
õ	2657	
ü̱	2518	only_lower
s	1946	
o̱	1918	
l	1861	
f	1610	
ǘ	1347	only_lower
i̱	1205	only_lower
1	1139	
2	873	
7	742	
ã́	660	
ṹ	599	only_lower
5	540	
õ̱	500	only_lower
3	457	
4	440	
ṍ	386	only_lower
6	364	
ĩ̱	266	only_lower
8	202	
ĩ́	199	only_lower
9	150	
ũ̱	136	only_lower
ẽ́	63	only_lower
z	62	
ü̱̃	40	only_lower
v	4	only_lower
k	2	only_lower
