cluster	count	casing patterns
ನ	15298	
ದ್	12997	
ನ್	12106	
ತ್	12087	
ಲೆ	11874	
ಕ್	11831	
ರ್	11039	
ಡ್	10890	
ಆ	9614	
ಲ್	8316	
ಮ	7798	
ಪ	7567	
ಯೆ	7381	
ಅ	7218	
ಕು	7087	
ಲಾ	7056	
ತ	6713	
ಕ	6648	
ತೆ	6346	
ದು	6158	
ನಿ	6137	
ತಿ	6112	
ರೆ	6074	
ಡ	6002	
ಯ	5992	
ಪು	5911	
ರಿ	5905	
ಗ್	5888	
ರ	5752	
ಪ್	5631	
ದ	5197	
ಲು	5180	
ವೆ	4620	
ಡು	4600	
ನೆ	4055	
ಬ	3936	
ದಿ	3913	
ನಾ	3785	
ಅಂ	3664	
ಗ	3493	
ದ್‌	3412	
ಪಾ	3116	
ಲ	3108	
ಸ್	3042	
ದಾ	2966	
ಟ್	2914	
ವ	2910	
ಸು	2892	
ಡೆ	2868	
ಪಿ	2844	
ಸ	2809	
ಮಾ	2793	
ಯಾ	2742	
ದೇ	2702	
ಇ	2685	
ಎ	2545	
ದೆ	2526	
ತ್‌	2464	
ಪಂ	2417	
ಕೊ	2412	
ಜ	2390	
ವು	2372	
ಯಿ	2217	
ಕೆ	2158	
ನು	2121	
ಉ	2103	
ಬೊ	2102	
ಯೇ	2058	
ಗು	1956	
ಜಿ	1860	
ನೊ	1841	
ಕಾ	1830	
ಒ	1791	
ರಾ	1721	
ಪೋ	1658	
ಡಿ	1633	
ಉಂ	1625	
ರೊ	1584	
ಎಂ	1563	
ಈ	1542	
ಬು	1487	
ಪೆ	1475	
ರು	1425	
ವಾ	1363	
ಮೆ	1352	
ತಾ	1325	
ಪೊ	1312	
ಯೊ	1298	
ಆಂ	1286	
ಲ್‌	1173	
ತೊಂ	1153	
ನೇ	1136	
ಏ	1115	
ಗೆ	1093	
ಟು	1039	
ತೂ	1036	
ನಂ	1035	
ಸಾ	1019	
ಸಂ	1006	
ಐ	1003	
ಮು	991	
ಕೈ	974	
ಚಿ	970	
ರೀ	967	
ಮಿ	966	
ಚ	905	
ರ್‌	900	
ತೋ	894	
ಗಾ	875	
ಧ	853	
ಒಂ	852	
ಜ್	820	
ಬಿ	797	
ಲಿ	787	
ಚ್	778	
ಲೋ	749	
ಚಾ	744	
ತು	738	
ಣ	732	
ವಂ	731	
ವೊ	729	
ಷ್	725	
ಬೇ	723	
ಧಿ	712	
ಜಾ	706	
ಟ	705	
ದುಂ	693	
ಣೆ	680	
ಬಾ	674	
ತ್ಂ	673	
ಶ	658	
ಹಾ	649	
ಡೊ	641	
ಇಂ	634	
ಸೇ	623	
ಡಾ	611	
ಮ್	609	
ಜೆ	591	
ಷ	581	
ಧಾ	553	
ದ್ಂ	544	
ಕ್‌	540	
ದೀ	520	
ಯೋ	517	
ಪುಂ	505	
ತೊ	504	
ವಿ	502	
ಲೇ	500	
ಬೆ	495	
ಕೇಂ	494	
ಟಿ	486	
ಸೈ	474	
ಶಿ	457	
ಬೋ	454	
ಮೊ	448	
ದಾಂ	435	
ತಂ	420	
ನೀ	420	
ಬ್	413	
ಕೇ	406	
ಕಿ	401	
ಮೋ	400	
ದೂ	398	
ಳ್	392	
ಗೊ	389	
ಜೀ	389	
ಶು	388	
ಣ್	384	
ವೊಂ	367	
ಥ	363	
ಸೊ	363	
ಹೆ	347	
ಗಂ	346	
ಳಿ	343	
ಪೌ	342	
ಸೆ	342	
ಟ್‌	333	
ಭಾ	333	
ವ್	331	
ಂ	320	
ಕಂ	320	
ಹೋ	320	
ತೀ	310	
ಮೂ	305	
ರೇ	303	
ಶಾ	298	
ಬೂ	297	
ರೂ	286	
ದಿಂ	285	
ರೋ	279	
ಭೆ	278	
ಹೂ	272	
ಭ	267	
ಚೆ	265	
ಷೆ	265	
ಲೊ	259	
ಸೀ	258	
ಕೋ	256	
ಪೇ	255	
ಗಿ	252	
ಣೊ	249	
ಗ್‌	247	
ರಂ	241	
ಷಿ	238	
ಮೈ	233	
ಸ್‌	232	
ವೇ	230	
ಬೈ	228	
ಕುಂ	223	
ಟೊ	222	
ಶ್	219	
ಜೋ	217	
ರೊಂ	215	
ಟೆ	213	
ಪೂ	212	
ಭೂ	210	
ಡಂ	204	
ಜೊ	202	
ಹಿ	200	
ಮಂ	197	
ನೊಂ	194	
ಸಿ	192	
ಓ	191	
ನೆಂ	189	
ಬಂ	189	
ಕೂ	186	
ಫ	181	
ಊ	171	
ಗುಂ	170	
ಯೊಂ	169	
ಪೊಂ	160	
ಳು	158	
ಗೇ	156	
ಡ್‌	156	
ಹ	156	
ಯಂ	153	
ಯು	148	
ರಾಂ	148	
ಡೇ	145	
ಕೊಂ	143	
ಳ	138	
ಷಾ	136	
ಶೊ	134	
1	133	
ಥಿ	131	
ಶೆ	131	
ನ್‌	128	
ನಾಂ	125	
ವೀ	124	
ತುಂ	123	
ಚಾಂ	121	
ಭಂ	118	
ಮೀ	118	
ಜೇ	117	
ಟಾ	117	
ಯ್	114	
ಖ್	112	
ಡೆಂ	112	
ಯೂ	112	
ಡೊಂ	109	
ಥಾ	108	
ದಂ	105	
ದೃ	104	
ಜಾಂ	102	
ಪೋಂ	100	
ಟೊಂ	98	
ಡೀ	97	
ಗೋ	89	
ಭಿ	89	
ಮೇ	89	
ಖ	86	
ಲಾಂ	86	
ಕೆಂ	84	
ಣ್‌	84	
ದೋ	84	
ಫಿ	83	
ಲೊಂ	83	
ಣಿ	81	
ಧೈ	78	
ಜಂ	75	
