cluster	count	casing patterns
a	211902	
i	83941	
r	68310	
e	68306	
p	67885	
m	51748	
ɨ	46560	
ã	35343	
n	31348	
c	28698	
t	27926	
d	27781	
h	27340	
k	26190	
o	23053	
u	22281	
s	20784	
j	18828	
b	18174	
ẽ	12457	
w	12276	
õ	6857	only_lower
á	6798	only_lower
ĩ	6332	
ɨ̃	4197	
y	3560	
ũ	2744	
l	2007	
í	1302	only_lower
ú	1074	only_lower
ã́	992	only_lower
é	828	
1	522	
g	453	
v	377	only_lower
2	261	
ɨ́	247	only_lower
z	191	
ó	175	only_lower
3	148	
4	126	
5	98	
6	96	
0	92	
8	87	
9	72	
7	66	
q	52	
ñ	4	only_lower
f	1	only_lower
