cluster	count	casing patterns
ब	21325	
यी	20977	
त	19399	
म्	18256	
ङ्‍	17018	
मा	16922	
स्‍	16651	
ङ्‌	15754	
म्‍	14135	
चे	13855	
ज्‍	13841	
ल	13233	
र्‌	13061	
प	12307	
न्‍	11575	
री	11353	
य्‍	10736	
ह	10612	
बे	8757	
की	8691	
नो	8283	
य	8136	
से	7969	
थे	7595	
ए	7342	
अ	7238	
इ	7162	
त्‍	7000	
ही	6944	
ये	6662	
र	6376	
मु	6208	
ङ्	6000	
स	5849	
हे	5159	
ले	4919	
ओ	4708	
ख	4705	
व	4553	
म	4495	
हु	4458	
ङ	4143	
ते	4115	
बी	4080	
हो	3914	
मे	3863	
ल्‍	3621	
ग्‍	3526	
क्‍	3502	
सु	3401	
जे	3338	
ज	3088	
जु	3030	
न	2828	
प्‍	2795	
रे	2299	
को	2270	
पी	2249	
टी	2219	
ली	2202	
ला	2066	
चु	2035	
लो	2035	
न्	2033	
प्	2014	
ती	1950	
दी	1860	
या	1778	
क्	1735	
ग	1696	
र्	1675	
च्‍	1660	
यो	1655	
त्	1620	
दे	1574	
ङो	1480	
वा	1426	
स्	1425	
ब्	1385	
मी	1333	
यु	1277	
बो	1230	
दु	1220	
ना	1203	
द	1152	
पा	1125	
सा	1119	
पे	1100	
रु	1099	
येः	1056	
गी	1038	
रो	1034	
ख्	1018	
बा	1012	
गीः	1008	
बु	975	
थ	964	
दो	942	
ब्‍	929	
ड	900	
ता	886	
छ्‍	869	
सी	863	
थो	848	
चो	828	
क	823	
सो	813	
नी	800	
रा	792	
आ	785	
उ	779	
मो	724	
च	708	
गो	694	
भु	694	
ट्‍	658	
खे	639	
तो	625	
गु	524	
पो	513	
कु	500	
ख्‍	448	
ध	442	
ट	410	
जो	409	
ल्	409	
पु	407	
हा	402	
का	397	
थ्‍	391	
दोः	386	
जा	379	
डे	378	
जी	370	
छ्‌	362	
लु	350	
डो	347	
नु	338	
द्‍	332	
ठी	320	
फ	319	
के	314	
था	302	
फ्	301	
चा	299	
दा	287	
व्‍	277	
ग्	265	
ट्	264	
भ्‍	259	
फे	254	
थु	250	
धी	232	
छे	223	
हीः	214	
तु	211	
ची	204	
ने	201	
फ्‍	188	
खो	183	
छा	170	
टो	163	
फी	162	
द्	160	
खी	147	
वु	143	
गा	139	
छ	135	
ष	135	
हेः	135	
सै	133	
फा	132	
झे	131	
भा	127	
ऊ	126	
थी	125	
थोः	125	
रेः	125	
छु	119	
दुः	106	
मीः	104	
ठा	98	
गे	95	
डा	95	
थुः	94	
ङे	93	
फेः	92	
फो	88	
घ	78	
डी	74	
भ	69	
डीः	68	
रोः	68	
टा	66	
ठो	66	
तोः	66	
युः	65	
ज्	57	
छो	56	
भी	55	
कै	53	
फु	53	
ठ	52	
धा	51	
ञा	48	
थेः	46	
वी	45	
जेः	44	
खा	42	
खीः	39	
भे	38	
षी	37	
खु	35	
ट्‌	34	
फीः	33	
बुः	33	
१	32	
लीः	30	
जुः	29	
जै	26	
डु	26	
धै	26	
मौ	26	
छीः	24	
योः	24	
२	23	
इ्	22	
काः	22	
कृ	21	
ढु	21	
ध्‍	21	
टु	18	
सुः	18	
इ्‌	17	
कुः	16	
ङोः	16	
य्	16	
होः	16	
ह्‍	16	
धो	15	
डेः	14	
ष्‍	14	
३	14	
गेः	13	
ठु	13	
फोः	13	
४	13	
टे	12	
लौ	12	
खै	11	
चौ	11	
झो	11	
डुः	11	
०	11	
५	11	
छी	10	
ड्	10	
चुः	9	
स्‌	9	
केः	8	
तेः	8	
रुः	8	
इ्‍	7	
ऊँ	7	
ठीः	7	
ड्‍	7	
तौ	7	
भ्	7	
मेः	7	
षा	7	
सोः	7	
हुः	7	
ङी	6	
ठ्‍	6	
यीः	6	
७	6	
८	6	
छै	5	
टौ	5	
वो	5	
ह्‌	5	
९	5	
गै	4	
ठ्‌	4	
नौ	4	
पुं	4	
मै	4	
६	4	
कोः	3	
गुः	3	
चेः	3	
जौ	3	
झ	3	
टाः	3	
ठे	3	
ताः	3	
द्‌	3	
पौ	3	
बै	3	
रीः	3	
लोः	3	
2	2	
कौ	2	
खेः	2	
घे	2	
घो	2	
झ्‍	2	
ठौ	2	
धु	2	
फौ	2	
बः	2	
बेः	2	
भो	2	
रौ	2	
सं	2	
ह्	2	
5	1	
इः	1	
उः	1	
औ	1	
कीं	1	
क्‌	1	
ख्‌	1	
घा	1	
चोः	1	
छोः	1	
झु	1	
टुः	1	
ढा	1	
तुः	1	
त्‌	1	
थीः	1	
थ्	1	
देः	1	
नै	1	
न्‌	1	
प्‌	1	
फ्‌	1	
म्‌	1	
लेः	1	
ल्‌	1	
वौ	1	
सौ	1	
हौ	1	
