cluster	count	casing patterns
म	37997	
म्‍	17236	
मा	17210	
का	17047	
ला	15323	
मि	15148	
वा	14148	
मे	14075	
पा	11753	
नी	11623	
डा	9234	
क्‍	8624	
ङ	8621	
ङा	7393	
कु	7164	
चु़	6883	
ल्‍	6337	
ई	5717	
सि	5533	
र्‍	5195	
र्	5106	
मु	5011	
सा	4974	
वो	4785	
बे	4752	
को	4453	
इ	4393	
मी	4382	
रा	4356	
उ	4251	
गो	4172	
ने	3991	
गु	3948	
ल	3860	
नु	3852	
र	3799	
ले	3781	
बा	3756	
लो	3648	
न्‍	3610	
गा	3523	
आ	3495	
बु	3477	
डी	3471	
मु़	3283	
डि	3178	
दु़	3165	
ये	3149	
सी	3141	
थो़	3092	
चो़	3033	
न	3032	
री	2897	
प्‍	2820	
त्‍	2758	
खा	2708	
प	2688	
ट्‌	2646	
ता	2583	
से	2549	
डु़	2521	
रे	2515	
सो़	2510	
या	2477	
हे	2434	
शू	2311	
खो	2269	
था	2263	
हा	2191	
ओ	2125	
नि	2099	
स	2044	
ना	2039	
तो	1949	
हो	1903	
जो़	1759	
बो	1577	
लु़	1571	
स्‍	1554	
जे	1521	
दी	1472	
पु	1449	
रो	1399	
सु़	1374	
ति	1353	
रि	1331	
डो	1278	
ग्‍	1277	
च	1211	
ह	1193	
दि	1135	
त्	1133	
दो	1082	
ड	1070	
नु़	993	
ख्	987	
य	955	
गि	921	
ट	920	
क	919	
रो़	890	
ब	873	
चा	837	
ड्‌	833	
लु	824	
च्‍	815	
ष्‍	814	
ची	809	
यु़	800	
दु	782	
पे	754	
बु़	748	
छो़	745	
सो	713	
नो	710	
छा	709	
दा	709	
चि	677	
ब्‍	675	
लि	662	
व	660	
थे	654	
ख्‍	648	
ङु	630	
तु़	627	
श	622	
की	616	
हु	606	
ली	569	
थु़	567	
एँ	559	
ङि	533	
कि	520	
ग	517	
यो	510	
अ	509	
ह्	507	
छु़	500	
रु	498	
मो	493	
फ	477	
क्	473	
दे	470	
ए	460	
हू	458	
बि	449	
भ्	448	
सु	430	
म्	424	
के	420	
गे	415	
घ्	415	
छे	411	
जु़	400	
रु़	399	
लो़	393	
थि	362	
त	361	
फा	354	
हि	352	
डे	337	
पो	334	
खे	310	
द	309	
ङो	304	
रू	304	
ट्‍	296	
ते	289	
ङ्‌	280	
प्	269	
द्‌	264	
फि	235	
चो	233	
यू	232	
झ्‍	227	
डु	223	
ण्‍	223	
चे	216	
थ	213	
ब्	202	
खु	200	
शा	195	
ख	193	
ङ्‍	189	
०	188	
नो़	186	
फ्‍	183	
फु	179	
ल्	179	
ग्	178	
बी	173	
१	156	
ड्‍	153	
खि	149	
ङे	145	
दो़	142	
पि	133	
धु़	128	
जा	127	
शै	124	
झा	122	
स्	121	
ऊ	119	
ज	118	
धा	116	
भे	116	
फो	115	
घ्‍	113	
टा	111	
जि	104	
तु	97	
फे	97	
कु़	94	
ध	94	
गू	92	
ही	90	
२	87	
छो	85	
कू	82	
न्	80	
थो	77	
थु	75	
भु	72	
थी	71	
चु	63	
ती	63	
द्‍	62	
कै	59	
भा	56	
ट्	53	
झो़	52	
टि	52	
ङी	50	
४	50	
पु़	49	
जो	48	
घ	47	
शि	46	
भो	38	
छ्‌	37	
द्	37	
फ्	35	
बै	35	
झे	34	
जु	33	
धि	33	
श्	33	
षे	33	
अं	32	
५	32	
पी	30	
६	30	
३	29	
तू	28	
लू	28	
घो	27	
झु	27	
ङु़	26	
जै	26	
जी	25	
ह्‌	25	
वी	24	
७	21	
धू	19	
ध्‍	19	
भ्‍	18	
९	18	
आ़	17	
डो़	17	
टी	15	
टु	14	
यु	14	
ण्	13	
धे	13	
खै	12	
शां	12	
ज्‍	11	
ठा	11	
षी	11	
झि	10	
ड्	10	
लौ	10	
८	10	
च्	9	
छ्‍	9	
टे	9	
पू	9	
यि	9	
मू	8	
शे	8	
ऊँ	7	
गी	7	
झो	7	
ठ्	7	
पुं	7	
गैं	6	
ङ्	6	
झु़	6	
थ्‍	6	
धो़	6	
पै	6	
मै	6	
श्‍	6	
सं	6	
नै	5	
वे	5	
अँ	4	
छ	4	
झ्	4	
टो	4	
ठि	4	
ढ	4	
धो	4	
भँ	4	
वि	4	
ष	4	
काँ	3	
छि	3	
णा	3	
दाँ	3	
फी	3	
बू	3	
व्‍	3	
शो	3	
ऐ	2	
किं	2	
कौ	2	
गै	2	
ज्	2	
णि	2	
तौ	2	
थ्	2	
पौ	2	
फौ	2	
बैं	2	
भ	2	
ह्‍	2	
आ‍	1	
खाँ	1	
खी	1	
छ्	1	
ठिँ	1	
ण	1	
ध्	1	
मौ	1	
य्‍	1	
रौ	1	
वै	1	
षा	1	
ष्	1	
साँ	1	
सिं	1	
