cluster	count	casing patterns
n	60477	
i	55145	
a	44882	
ˀ	43768	only_lower
í	39695	
e	38848	
h	35103	
w	28873	
á	26827	
ḏ	25087	only_lower
o	23023	
y	21309	
t	20872	
d	18273	
u	16295	
s	14761	
p	13790	
k	12158	
m	11847	
v	10736	only_lower
g	10541	
â	9754	
b	9725	
ꞌ	9037	only_lower
ó	8580	
ä̖	8355	only_lower
ä	5822	only_lower
j	5436	
a̖	4952	
é	4335	only_lower
u̖	4097	
ú	3950	
ô	3945	
ä́	2889	only_lower
î	2708	only_lower
û	2342	
c	2022	
r	1794	
ê	1384	only_lower
l	1337	
ú̖	1252	
á̖	1163	
ó̖	976	only_lower
í̖	784	only_lower
ä̖́	777	only_lower
â̖	760	only_lower
ä̂	692	only_lower
i̖	569	
ä̖̂	423	only_lower
e̖	407	only_lower
û̖	249	only_lower
é̖	158	only_lower
z	132	
0	122	
ê̖	57	only_lower
x	52	only_lower
f	51	
o̖	47	only_lower
1	40	
2	31	
4	21	
5	17	
7	8	
q	8	
3	6	
8	6	
6	4	
9	4	
m̖	1	only_lower
