cluster	count	casing patterns
o	128224	
a	104836	
k	77673	
g	75763	
j	60147	
e	59133	
l̈	55817	
n	55552	
r	52490	
s	49061	
i	43845	
b	42575	
ë	36833	
y	33285	
w	30341	
t	29634	
h	26654	
p	26314	
l̇	21754	
d	20100	
m	18843	
ö	18404	
u	12412	
ä	11378	
ĩ	7251	
õ	5463	only_lower
ú	4804	only_lower
ẽ	4568	only_lower
ã	4181	
c	3190	
z	3025	
l	2154	
é	985	
í	924	only_lower
á	650	only_lower
ũ	487	only_lower
0	437	
f	428	
v	346	only_lower
ó	325	only_lower
1	319	
7	176	
2	157	
q	151	
4	137	
5	114	
ö̃	89	only_lower
3	60	
6	58	
ṍ	51	only_lower
8	37	
9	35	
ë̃	32	only_lower
x	18	only_lower
ä̃	17	only_lower
ë́	12	only_lower
ñ	2	only_lower
