cluster	count	casing patterns
र	33413	
ह	32538	
क	30400	
इ	21101	
के	18826	
ल	14856	
स	14815	
न	13888	
य	13507	
त	12689	
ब	12431	
वा	12276	
या	11906	
प	11522	
म	10686	
से	10550	
व	9022	
मा	8748	
ज	7567	
रा	7117	
स्‍	6828	
नि	6692	
उ	6425	
लि	6144	
अ	5903	
सि	5835	
हिँ	5796	
ड	5720	
हु	5675	
ने	5537	
न्‍	5523	
कि	5133	
सा	4926	
रि	4862	
ख	4693	
ना	4469	
दे	4071	
तो	3954	
का	3936	
मे	3901	
सु	3849	
रे	3845	
ग	3693	
बा	3690	
जि	3308	
नु	3298	
ले	3085	
हुँ	2877	
मु	2743	
भ	2687	
पा	2598	
ये	2505	
ति	2456	
हि	2399	
फे	2348	
मो	2252	
ट	2249	
द	2245	
वि	2198	
दि	2179	
ए	2114	
हे	2096	
हा	1969	
म्‍	1839	
ला	1838	
भे	1680	
प्	1653	
बि	1590	
ता	1476	
जु	1465	
छा	1434	
पु	1428	
ध	1384	
रु	1323	
च	1284	
जा	1250	
चि	1215	
चा	1212	
ते	1190	
गु	1129	
बे	1106	
वे	1100	
ङे	1097	
डा	1088	
त्‍	1076	
उँ	1070	
था	1063	
गा	1051	
फ	1042	
ठ	1036	
आ	1025	
कु	1025	
रो	993	
दा	952	
थि	944	
भु	919	
डि	867	
छ	848	
दु	831	
खा	830	
ख्	794	
घ	759	
क्‍	754	
दो	737	
खि	736	
पि	712	
वाँ	705	
ङ	694	
तु	672	
को	642	
चे	640	
खो	621	
झि	618	
यो	599	
खे	592	
मि	579	
घि	559	
टि	553	
गो	552	
थ	542	
गे	529	
ठि	473	
टा	471	
बु	471	
व्‍	468	
झ	452	
भा	445	
हो	444	
नो	442	
जे	432	
भि	416	
यु	413	
ठा	404	
ल्‍	393	
खु	391	
ठो	390	
लो	373	
सं	364	
ग्‍	363	
द्	342	
फि	338	
धि	337	
सो	332	
पे	305	
प्‍	294	
गि	287	
धु	282	
ग्	273	
लु	273	
दुः	271	
भो	260	
डे	255	
धा	255	
छे	220	
जो	218	
ढ	218	
ओ	214	
डो	213	
खाँ	212	
धे	212	
छि	206	
चु	182	
चो	172	
छु	171	
स्	170	
टे	153	
बो	150	
झु	145	
हृ	140	
झ्‍	138	
ढो	136	
फा	136	
ब्	134	
ख्‍	131	
क्	124	
न्	124	
मृ	119	
छो	114	
१	111	
र्	95	
दृ	94	
धो	83	
फु	80	
अं	72	
पो	70	
झे	69	
सिं	67	
ढा	64	
म्	64	
घु	62	
झा	62	
पाँ	62	
ज्‍	60	
ध्‍	59	
२	57	
ब्‍	53	
घो	52	
घा	49	
बाँ	49	
टु	48	
कुँ	45	
घे	43	
ठे	42	
ङा	41	
झो	41	
टो	41	
ढि	39	
थे	38	
चाँ	35	
थु	35	
जाँ	34	
फो	33	
साँ	33	
६	33	
फाँ	32	
हँ	30	
०	28	
५	28	
डु	26	
३	25	
४	24	
थो	21	
९	21	
वं	19	
७	18	
ड्	15	
ढे	15	
सां	15	
काँ	14	
च्‍	14	
ट्	14	
फ्	14	
ङि	13	
पुं	13	
ढु	11	
यि	11	
८	11	
टाँ	9	
र्‍	9	
ङ्	8	
खुँ	7	
डाँ	7	
भ्	6	
घाँ	5	
दाँ	5	
द्‍	4	
किं	2	
कृ	2	
ङु	2	
ङो	2	
झाँ	2	
ट्‍	2	
ठिँ	2	
तुँ	2	
फ्‍	2	
इँ	1	
गृ	1	
चुँ	1	
झुँ	1	
ठु	1	
ठुँ	1	
डुँ	1	
तं	1	
तृ	1	
थ्	1	
थ्‍	1	
भ्‍	1	
मं	1	
याँ	1	
रं	1	
रां	1	
ल्	1	
वो	1	
हेँ	1	
ह्	1	
