cluster	count	casing patterns
र	34708	
क	34518	
म	18294	
ल	18058	
ह	16959	
न	15357	
प	9578	
स	8893	
त	8892	
इ	7776	
र्	7577	
ओ	6874	
व	6511	
न्‍	6355	
ना	6318	
नै	6108	
अ	6087	
ब	5897	
से	5701	
वा	5677	
बा	5568	
य	5510	
उ	5439	
आ	5328	
या	4763	
ग	4513	
हुँ	4482	
क्	4344	
का	4164	
ज	4142	
रा	3809	
दे	3636	
श्‍	3613	
ट	3469	
हु	3273	
ला	3200	
हाँ	2860	
मे	2638	
पा	2572	
स्‍	2514	
री	2462	
ये	2391	
प्	2364	
फे	2318	
मा	2312	
हो	2312	
टुँ	2259	
वि	2254	
टु	2238	
शू	2213	
ही	2149	
मै	2118	
जा	2058	
म्‍	2045	
ह्	2032	
ए	1959	
त्	1908	
हा	1905	
सा	1889	
कै	1888	
सि	1836	
ख	1785	
टी	1757	
कि	1730	
ति	1681	
ले	1668	
ठ	1601	
ख्‍	1584	
ठा	1576	
यी	1536	
श	1515	
मु	1510	
च	1466	
द	1458	
गै	1448	
रो	1421	
त्‍	1350	
दि	1349	
क्‍	1327	
ध	1316	
ठो	1263	
रे	1193	
रि	1189	
ली	1182	
ल्‍	1177	
ड	1146	
रु	1145	
घ	1135	
ष्‍	1135	
प्‍	1118	
हे	1095	
ऊ	1094	
नु	1084	
ता	1064	
कु	1063	
सु	1032	
लि	1025	
चि	1010	
चा	987	
ल्	983	
ग्‍	981	
जि	977	
म्	965	
हीँ	945	
ई	937	
ख्	900	
दो	889	
खा	877	
छा	853	
द्	851	
स्	824	
ट्‍	814	
गा	812	
ठे	805	
न्	793	
ने	771	
भ	762	
पै	749	
बो	734	
नि	732	
भु	732	
उँ	723	
दा	717	
छ	704	
शा	700	
ट्‌	687	
ज्‍	682	
पु	661	
के	654	
बि	649	
ठी	644	
था	640	
औ	638	
ष	631	
धे	628	
ङ्‌	624	
टो	616	
हि	615	
रू	604	
सँ	587	
दी	582	
बे	579	
जी	567	
नी	564	
बु	557	
फ	550	
भा	548	
जै	546	
पू	541	
चे	540	
ण	537	
थ	532	
ह्‍	531	
हू	526	
व्‍	502	
नो	494	
खै	493	
झ	491	
ती	490	
खु	483	
टि	476	
छु	472	
लो	471	
दु	469	
ब्‍	458	
र्‍	453	
शी	442	
च्‍	438	
ण्‍	437	
मि	432	
ग्	412	
गु	404	
जे	400	
यो	400	
सी	395	
ज्	374	
जो	373	
टा	372	
बी	370	
जु	364	
हेँ	364	
लै	361	
डा	358	
कौ	351	
मो	343	
सं	340	
दू	339	
यि	326	
भि	315	
ञा	311	
धि	310	
शि	310	
छो	299	
वी	299	
ध्‍	293	
रै	291	
चो	290	
पि	289	
भै	287	
मी	261	
