cluster	count	casing patterns
र	30633	
ब	25236	
स	24052	
के	22677	
क	21124	
ह	14071	
त	13842	
म	12891	
प	12510	
न	10276	
आ	9774	
ल	9597	
मे	9152	
इ	7982	
रा	7255	
स्‍	6536	
ज	6103	
कै	5921	
से	5829	
अ	5809	
बा	5739	
उ	5128	
ला	5096	
ल्‍	4935	
ओ	4883	
ले	4637	
चि	4621	
या	4523	
नै	4211	
छै	4047	
लै	4038	
बि	3982	
सु	3824	
न्‍	3567	
व	3423	
दे	3404	
ना	3373	
है	3341	
का	3242	
ए	3109	
ग	3082	
मा	3045	
यै	2984	
रै	2923	
ख	2659	
लो	2640	
य	2557	
तो	2531	
ने	2504	
तै	2441	
द	2440	
ये	2421	
सा	2388	
बे	2371	
हे	2311	
रे	2214	
ट	2183	
पा	2179	
ता	2128	
रि	2046	
हा	1901	
ही	1890	
तु	1880	
जा	1837	
लि	1819	
खा	1779	
टा	1676	
बै	1651	
क्‍	1629	
नि	1596	
छे	1579	
चा	1569	
हि	1566	
दि	1554	
च	1540	
ति	1526	
थि	1507	
यि	1484	
भे	1477	
कि	1459	
ध	1423	
को	1386	
रो	1378	
जे	1369	
पु	1297	
रु	1289	
सि	1250	
हु	1227	
ङे	1184	
खि	1138	
दु	1137	
ङ	1088	
ते	1054	
ग्‍	1049	
गे	1024	
नो	968	
गा	954	
भु	936	
पि	912	
थ	906	
जि	873	
ती	844	
ठा	838	
यौ	827	
छा	799	
मु	790	
छ	781	
दा	772	
घ	770	
री	770	
तौ	767	
यो	737	
दै	723	
भा	720	
चे	712	
कु	705	
दी	675	
सी	663	
दो	662	
त्‍	654	
ठ	652	
मि	637	
ली	635	
फ	633	
था	623	
नी	610	
ड	595	
छौ	566	
भ	561	
खु	545	
टी	537	
बो	534	
हाँ	525	
गु	520	
धि	509	
हो	487	
जो	486	
बु	475	
गो	469	
की	467	
छो	464	
नु	452	
म्‍	450	
फे	440	
वा	435	
खै	413	
भ्‍	392	
मो	373	
औ	364	
भि	358	
सो	315	
बौ	293	
ह्‍	284	
झ	281	
गै	275	
यु	275	
थी	274	
ज्‍	271	
हौ	266	
मी	264	
प्‍	261	
धा	257	
खे	235	
बी	234	
पै	230	
साँ	223	
चो	215	
जै	215	
भो	204	
खो	202	
ठी	202	
भै	200	
सै	199	
चै	197	
च्‍	191	
फि	182	
घु	168	
ख्‍	161	
छु	161	
ठे	156	
रौ	155	
ब्‍	154	
गी	149	
जी	146	
टै	134	
चु	133	
डा	133	
छि	126	
गि	125	
झा	121	
टि	118	
द्‍	118	
जु	117	
मै	115	
झु	114	
कौ	111	
ढु	109	
लु	107	
टे	106	
रू	104	
ठि	101	
झै	96	
ढ	96	
पी	96	
आँ	95	
माँ	95	
फा	91	
धु	90	
लौ	89	
पे	86	
छी	80	
घो	79	
फु	75	
मौ	75	
सिं	75	
घि	73	
फै	69	
र्‌	69	
वे	68	
टु	67	
डे	65	
ऐ	64	
थे	62	
पो	62	
धो	60	
१	60	
धै	56	
ठै	55	
थु	55	
पाँ	55	
भें	54	
भी	52	
ठो	51	
जाँ	50	
घा	49	
धी	49	
चौ	47	
डि	46	
डो	45	
२	45	
सं	42	
हँ	41	
दौ	38	
ङी	36	
ङै	35	
डी	35	
ठ्‍	33	
नौ	32	
ढि	30	
झे	29	
झो	29	
थो	29	
६	29	
खी	28	
ङि	28	
ङा	27	
झि	26	
ट्‍	26	
ड़	25	
३	25	
५	24	
टो	23	
डु	23	
यी	23	
काँ	22	
सौ	21	
ढे	20	
ध्‍	20	
फो	20	
बं	18	
४	18	
डाँ	17	
म्‌	17	
०	17	
डै	16	
ढो	16	
पौ	16	
ड्‍	15	
ढ़	15	
गौ	14	
थै	14	
जौ	13	
झ्‍	13	
वाँ	12	
७	12	
घे	11	
घै	11	
ची	11	
वो	11	
भौ	10	
अं	9	
ढा	9	
बाँ	9	
वी	9	
घें	8	
ङो	8	
९	8	
उं	7	
दाँ	7	
लं	7	
८	7	
घाँ	6	
ङ्‍	5	
फौ	5	
खाँ	4	
ठु	4	
याँ	4	
अँ	3	
घौ	3	
जं	3	
ठ्	3	
धे	3	
पैं	3	
पों	3	
सां	3	
औं	2	
खौ	2	
ठौ	2	
ड़ी	2	
ढै	2	
ढ्‍	2	
थ्‍	2	
फी	2	
रं	2	
सँ	2	
हुँ	2	
आं	1	
उँ	1	
उ‍	1	
एं	1	
कां	1	
कुं	1	
खुँ	1	
घों	1	
छैः	1	
जैं	1	
झौ	1	
ड़ि	1	
द्‌	1	
फ्‍	1	
ब्	1	
भँ	1	
भुँ	1	
य्‍	1	
राँ	1	
र्	1	
ल्‌	1	
वि	1	
सि‍	1	
सैं	1	
