cluster	count	casing patterns
a	192323	
n	94273	
ǝ	78240	
t	55956	
i	50256	
d	45118	
s	41497	
l	34454	
m	33479	
w	31480	
r	30517	
e	23263	
y	21530	
g	19899	
k	19882	
ɣ	19774	
z	15516	
u	14298	
š	11699	
f	9674	
b	8891	
o	7274	
h	5444	
q	4702	
ə	4240	only_lower
â	3540	only_lower
x	2478	
j	1621	
ʼ	569	
ḍ	344	only_lower
ă	65	only_lower
ẓ	49	only_lower
ô	43	only_lower
ê	41	only_lower
î	27	only_lower
ŋ	20	only_lower
û	14	only_lower
ḷ	11	only_lower
ḳ	10	only_lower
ṣ	8	only_lower
0	3	
4	2	
ṇ	2	only_lower
ṛ	2	only_lower
ṭ	2	only_lower
1	1	
