cluster	count	casing patterns
a	162059	
t	101179	
n	96869	
c	86191	
l	71840	
i	69107	
u	64379	
h	56655	
a̱	53019	
m	39860	
x	38594	
s	36583	
i̱	35596	only_lower
á	33028	only_lower
k	31939	
p	24586	
o	20076	
í	18305	only_lower
y	16003	
q	14526	
e	14167	
r	14087	
ú	13781	only_lower
á̱	10633	only_lower
j	10393	
z	7359	
d	6175	
u̱	5421	only_lower
í̱	4779	only_lower
é	2592	only_lower
b	1477	
g	1063	
o̱	975	only_lower
ó	788	only_lower
ú̱	735	only_lower
f	589	
e̱	578	only_lower
v	328	
ó̱	167	only_lower
é̱	108	only_lower
ñ	65	only_lower
y̱	5	only_lower
0	3	
4	2	
ṉ	2	only_lower
1	1	
