cluster	count	casing patterns
a	194073	
n	138395	
t	127919	
u	118521	
c	110856	
h	107502	
l	104111	
a̱	101989	
i̱	80882	only_lower
i	61525	
x	55464	
m	54098	
k	52037	
p	45453	
s	41725	
y	30367	
á̱	24627	only_lower
u̱	23515	
q	18799	
á	18578	only_lower
o̱	15139	only_lower
o	13163	
j	11922	
z	9838	
í̱	9329	only_lower
e	7891	
ú̱	6649	only_lower
d	5964	
r	5751	
í	5320	only_lower
ú	5050	only_lower
ó̱	1844	only_lower
b	1345	
e̱	996	only_lower
g	922	
f	801	
ó	760	only_lower
é	705	
v	284	only_lower
é̱	96	only_lower
1	22	
2	21	
ñ	13	only_lower
3	12	
0	8	
4	8	
5	6	
6	4	
9	3	
8	2	
7	1	
