cluster	count	casing patterns
ង	42442	
កា	35451	
ន់	26924	
អ	26700	
រ	26412	
ត	24577	
សា	19037	
ប៉ា	18789	
ស	18343	
ក់	16960	
គ់	15805	
ន	15699	
អា	15435	
ប	15265	
ឡា	13708	
ក	13175	
អ៊ែ	13008	
ល	11479	
អ្	10935	
ញ់	10758	
គ័	10563	
ណោះ	9981	
ប‌	9924	
រ័ះ	9697	
៉្	9584	
ប៉្	9538	
ដា	9380	
លូ	8782	
គ	8417	
យ	8342	
ផា	8231	
តា	8050	
ទី	7553	
អូ	6962	
វ	6451	
អី	6244	
ច	6207	
ញ	6098	
ឌែ	5806	
ចឹ	5640	
ដី	5527	
ច់	5466	
ឡឹ	5447	
រ៉ា	5382	
ទឹ	5380	
ពឹ	5234	
ម	5026	
ត្	4941	
ណា	4656	
ប៊	4574	
ចា	4455	
ពូ	4417	
កេះ	4390	
វៃ	4345	
យ័	4224	
មួ	4014	
ង់	3952	
ឡាំ	3917	
រ៉ះ	3881	
ហ	3768	
អុះ	3614	
ដេ	3589	
ប៉	3511	
ម៉ា	3329	
ហះ	3193	
ស៊ូ	3180	
យី	3168	
រា	3147	
ទិ	3066	
ណូ	3046	
រ់	3007	
សុ	3001	
តាំ	2925	
ប់	2788	
ខា	2757	
ពិ	2736	
ពុ	2612	
ក្	2514	
ញ៉ា	2489	
អំ	2458	
នី	2357	
ត់	2337	
លុ	2332	
ហ្	2248	
ខ	2216	
បា	2211	
ស្	2187	
ទៀ	2164	
សាំ	2131	
ផះ	2128	
ណោ័ះ	2073	
អឺ	2044	
ម៉ោ	1964	
រ៉ាំ	1955	
ហា	1946	
ណុ	1902	
ណាំ	1891	
ម៉ះ	1864	
អៀ	1861	
ហៃ	1838	
វ្	1837	
យូ	1825	
អ៊ី	1809	
ឌូ	1798	
ង័	1793	
ទ្	1746	
នឹ	1739	
ញឹ	1683	
វ៉ា	1681	
ប៉ិ	1673	
តី	1667	
ប័	1627	
ឃឺ	1609	
ពៀ	1599	
តោ័	1582	
មឿ	1579	
ង៉ា	1559	
គ្	1513	
ដូ	1511	
ល់	1489	
រើ	1389	
តេះ	1378	
លើ	1371	
ៗ	1351	
ពួ	1346	
ម័	1337	
ចៃ	1329	
សឿ	1316	
ប៉ាំ	1288	
គួ	1253	
ពែ	1233	
ជែ	1221	
កោ	1186	
យ៉ា	1184	
ស៊ី	1166	
លា	1150	
ថេ	1144	
ភឿ	1097	
កាំ	1081	
កើ	1070	
យា	1054	
រូ	1052	
ពឿ	1047	
តើ	1028	
វា	1028	
ម៉ូ	1008	
ឡូ	958	
ពឹះ	957	
ទៅ	948	
ដឹ	939	
រ៉	931	
សិ	931	
សេ	925	
លៃ	893	
នេ	882	
រ៉ី	874	
ម៉ុ	873	
ចំ	863	
៉័ះ	859	
អេ	842	
សឹ	789	
ច្	783	
ហី	782	
រី	780	
ទុ	772	
ត័	771	
ម៉ី	759	
ព្	748	
ម៉ៃ	739	
គែ	729	
០	713	
សោ	711	
រឹ	703	
ឃឹ	695	
ម៉	685	
លី	678	
ឡ	678	
រែ	675	
រុ	654	
គឹ	652	
ក័	643	
នែ	635	
បះ	634	
រួ	604	
ប៉ុ	567	
ជឹ	554	
ហៀ	528	
តោ	524	
យេ	517	
ខ្	512	
យ៉ាំ	504	
អើ	500	
ហោ	496	
សឹះ	490	
ញុ	488	
យ‌	485	
រិះ	479	
រ៉ុ	474	
កេ	472	
បឺ	468	
អុ	467	
ឡៃ	465	
លឹ	464	
អ៊្	457	
១	455	
ស៊ែ	454	
កុ	452	
លៀ	451	
វី	450	
ប៉ូ	448	
ចាំ	447	
កូ	440	
យិ	440	
ម៉ាំ	432	
ឡោ	431	
រ៉ោ	425	
ហ៊្	417	
ផូ	401	
នា	399	
កិ	387	
តុ	379	
សូ	378	
រ៉ើ	375	
ញ័	368	
យាំ	367	
រុះ	352	
ពេ	341	
លេ	339	
ថូ	334	
ទ	328	
ថុ	327	
កូះ	321	
ចៀ	319	
ម៉ឹ	318	
ខេ	316	
យ៉ូ	315	
ជុ	311	
រោ	310	
ឃើ	304	
និះ	302	
ន័	295	
រៀ	295	
២	287	
ជៀ	285	
ប៉ៃ	284	
ស៊្	284	
ណើ	282	
លោ	279	
ស៊ិ	277	
មោ	271	
ឡិ	269	
ឡី	267	
ពុះ	265	
រ៉ូ	261	
ខំ	260	
ប៉ើះ	259	
ម៉ឺ	259	
បើ	258	
ថាំ	256	
អៃ	256	
គុ	254	
ណី	253	
តៃ	252	
រេ	249	
តុំ	243	
ប៊ែ	242	
សើ	242	
លឺ	241	
ឌី	240	
ទូ	238	
លួ	237	
ហ៊ែ	237	
រុំ	236	
ហេ	236	
ណៃ	233	
ប៉ោ	229	
គៀ	224	
ពី	224	
រ័	224	
មើ	220	
ហ៊ូ	219	
ណុំ	214	
តូ	214	
ប្	214	
ជ្	210	
ភី	207	
ហាំ	207	
អ៊	203	
លែ	201	
បេ	199	
យើ	198	
អោ	194	
ជិះ	193	
ថា	186	
វ៉ឹ	185	
យ្	184	
ឃូ	180	
សៃ	180	
តេ័ះ	178	
ឡុ	175	
ខឹ	173	
តិ	173	
លៅ	173	
ខៃ	170	
រិ	167	
ប៊ី	165	
៤	159	
ដៃ	157	
ឌៀ	157	
ជុំ	156	
យ៉ិ	155	
ហូ	152	
ឡេ	147	
គី	146	
ស៊ុ	146	
ខុ	141	
ងុំ	140	
ណើះ	139	
៥	138	
ម៉ូះ	137	
ហ៊ី	137	
ដោ	136	
ប៊ុ	136	
ហិ	136	
ខោ	134	
ថិ	134	
បោ	133	
ញ៉ាំ	132	
បៀ	131	
វ៉ី	131	
ទួ	130	
ស៊	130	
ឡូះ	125	
ហុំ	122	
៣	120	
ខូ	119	
ង៉ី	119	
ង៉	116	
យួ	116	
ដោះ	115	
ល័	114	
ជ	111	
ត័ះ	107	
ចុ	106	
ច័	106	
ដ	106	
រះ	105	
រឺ	103	
វេ	102	
ប៊ូ	101	
មី	100	
៧	96	
សុះ	94	
បី	91	
រ៉ៃ	90	
សេះ	83	
៦	81	
តឹ	80	
មេ	80	
កី	79	
ឃឿ	79	
បូ	79	
គេ	77	
ទោ	76	
បិ	76	
ផៃ	76	
ឡើ	75	
កៃ	73	
ដះ	73	
ឌុ	73	
លះ	72	
សំ	72	
ធី	71	
ឃ្	69	
មូ	69	
ភេ	68	
សៀ	68	
ណះ	67	
យឹ	67	
ហើ	67	
ហ៊	67	
កោះ	64	
វ៉ាំ	64	
ម៉ើ	62	
៩	61	
លេ័ះ	60	
៨	60	
រោ័	59	
សួ	58	
តោះ	57	
មែ	57	
ទុះ	56	
ប៉ី	55	
យ់	55	
ហឹ	54	
យ៉ះ	53	
លាំ	53	
ភ	52	
កំ	51	
ណឹ	49	
ផិ	49	
ពិះ	49	
លោ័	49	
ឡះ	49	
ទឹះ	47	
ខួ	46	
ណោ	46	
ធែ	46	
បៃ	46	
មៀ	46	
រ៉ូះ	46	
វ៉ិ	46	
តុះ	44	
ភែ	44	
យ៉	44	
រាំ	44	
លេះ	43	
សី	43	
ងី	41	
តូះ	41	
កះ	40	
យ៉ឹ	40	
ដាំ	39	
យោ	39	
រេះ	39	
ក័ះ	38	
ផី	38	
មៃ	38	
ម៉ិ	38	
បឹ	37	
ណ័ះ	36	
យ៉ោ	36	
រោះ	36	
ចេ	35	
ដំ	35	
ថូះ	35	
ទឺ	35	
លិ	35	
រ៉ោះ	34	
គោ	33	
ដើ	33	
នៀ	33	
លូះ	33	
ល‌	33	
វែ	33	
ស៊ើ	33	
អាំ	32	
អឺះ	32	
ដុំ	31	
ផុ	31	
យ៉ុ	31	
ណ	30	
ព	30	
វ៉ើ	30	
គូ	29	
ង៉ើ	29	
តេ	28	
វះ	28	
កឺ	27	
ជី	27	
អ៊ូ	27	
ដុ	26	
ឌឺ	26	
និ	26	
យ៉ើ	26	
រ្	26	
វ៉ៃ	26	
ហ៊ុ	26	
កុះ	25	
ប៉ឹ	25	
ប៉ះ	25	
ប៊្	25	
ម៉េះ	25	
យ៉្	25	
អោះ	25	
ចុំ	24	
ម់	24	
ហុ	24	
អេះ	24	
រៃ	23	
ចោះ	22	
ឌួ	22	
ញូ	21	
ហឺ	21	
អឹះ	21	
ជួ	20	
ដ្	20	
ធៀ	20	
នូ	20	
បុ	20	
យុះ	19	
លុះ	19	
ចិ	18	
ទុំ	18	
ទែ	18	
ពោ	18	
រូះ	18	
អះ	18	
ខើ	17	
ចី	17	
រឹះ	17	
ឡេះ	17	
លោះ	16	
កឹ	15	
ថើ	15	
ឡើះ	15	
អួ	15	
ដេះ	14	
នឺ	14	
នោ	14	
ពៅ	14	
អិ	14	
បោះ	13	
ពើ	13	
អ៊ិ	13	
អ៊ិះ	13	
យើះ	12	
រ៉ឺ	12	
វិ	12	
សឺ	12	
ខុំ	11	
ណូះ	11	
ណេ	11	
ថៃ	11	
ធូ	11	
ប៉ឹះ	11	
ប៉ោ័ះ	11	
មឺ	11	
យែ	11	
អ៊ុ	11	
តើះ	10	
វឹ	10	
វ៉េះ	10	
ហ៊ើ	10	
គើ	9	
ចឺ	9	
ញ៉	9	
ណុះ	9	
នើ	9	
យ៉ៃ	9	
រ៉ុះ	9	
លឹះ	9	
ឡោះ	9	
អ៊ើ	9	
កោ័ះ	8	
ឃី	8	
ង៉ិ	8	
ជឺ	8	
ភៀ	8	
លុំ	8	
ឡុំ	8	
កេ័ះ	7	
គិះ	7	
ជើ	7	
តះ	7	
ថោ	7	
ទេ	7	
នាំ	7	
ប៉ូះ	7	
មា	7	
រ៉ិ	7	
ជូ	6	
ឌើ	6	
ណិ	6	
ពឺ	6	
ភូ	6	
ម៉ុះ	6	
យឺ	6	
រ៉េះ	6	
វៀ	6	
ស៊ិះ	6	
ខៀ	5	
គឺ	5	
គុំ	5	
ចើ	5	
ដិ	5	
ដូះ	5	
យោ័	5	
អឹ	5	
ង៉ៃ	4	
ចោ	4	
ណេះ	4	
ប៉ើ	4	
ប៉េះ	4	
ប៉័ះ	4	
ផ	4	
ផើ	4	
ផេ	4	
ផ្	4	
មិ	4	
យុ	4	
យះ	4	
រំ	4	
វេះ	4	
វ៉	4	
គុះ	3	
ចះ	3	
ច័ះ	3	
ញិ	3	
ទើ	3	
ធេ	3	
បួ	3	
ប៉ុះ	3	
ប៊ើ	3	
ផូះ	3	
មុ	3	
មោ័	3	
យូះ	3	
យេ័ះ	3	
លំ	3	
ឡំ	3	
ខាំ	2	
គិ	2	
ង្	2	
ជិ	2	
ដុះ	2	
ណឺ	2	
នួ	2	
បុះ	2	
ប៊ិ	2	
ភើ	2	
ម៊ែ	2	
យ៉ឺ	2	
លិះ	2	
វេ័ះ	2	
វ៉ឺ	2	
សះ	2	
ឡឺ	2	
ឡុះ	2	
អុំ	2	
អូះ	2	
អ៊េ	2	
2	1	
កុំ	1	
គឹះ	1	
គូះ	1	
ឃិះ	1	
ងឹ	1	
ងែ	1	
ង៉ូ	1	
ង៉េះ	1	
ង៉ោ	1	
ចុះ	1	
ជា	1	
ជោ	1	
ឌេ	1	
ឌ្	1	
តឹះ	1	
តឺ	1	
ថ	1	
ថឺ	1	
ថុំ	1	
ថុះ	1	
ថះ	1	
ទិះ	1	
ធិ	1	
ធើ	1	
នុ	1	
នៅ	1	
បាំ	1	
បែ	1	
ប៉ឺ	1	
ផេះ	1	
ផោ	1	
ភ្	1	
មិះ	1	
ម៉េ	1	
យ៉ូះ	1	
