cluster	count	casing patterns
r	91097	
e	90744	
a	86021	
i	76184	
k	58840	
o	55143	
ɨ	55137	
t	47692	
n	44378	
s	42165	
ã	40178	
w	38455	
m	37806	
î	31233	only_lower
h	30249	
p	27074	
u	26048	
â	25165	only_lower
y	21828	
é	16240	
ó	14967	only_lower
ɨ̃	14699	
ɨ̂	12571	only_lower
g	11152	
á	10735	
d	10609	
ĩ	10182	
b	10178	
ô	9238	only_lower
í	8478	only_lower
ê	8451	
ẽ	6815	
ã́	6260	only_lower
õ	6229	
ɨ́	6132	only_lower
j	5527	
ú	3548	only_lower
ũ	2903	
c	2447	
l	2136	
û	1779	only_lower
f	455	
v	390	
ĩ́	254	only_lower
ẽ́	241	only_lower
q	240	
z	233	
ṍ	55	only_lower
x	15	only_lower
1	7	
3	4	
5	2	
ṹ	2	only_lower
7	1	
8	1	
9	1	
ç	1	only_lower
