cluster	count	casing patterns
a	172814	
n	87289	
i	86685	only_lower
e	74858	
o	71532	
u	60263	
t	53926	
l	50980	
b	44392	
y	42168	
r	41352	
k	41077	
ə	40129	
s	40064	
x	34509	
m	28862	
ğ	27502	
ş	23035	
z	19702	
q	17965	
d	16602	
v	16453	
p	15750	
ç	10492	
h	9873	
g	8197	
ü	6767	
c	6306	
i̇	5967	only_upper
f	5904	
č	5234	
ś	4151	
ə̌	4037	
ö	3523	
ě	3308	
ı	3079	only_lower
ç̌	2388	
š	2385	
ǒ	2239	
ǔ	1489	
ı̌	1054	only_lower
ǐ	636	
ǰ	531	
j	357	only_lower
0	180	
1	127	
5	86	
3	80	
2	75	
4	75	
6	65	
7	56	
ǧ	41	
9	35	
8	32	
ȷ̌	1	only_lower
