cluster	count	casing patterns
n	78608	
u̱	71194	
a	64397	
e̱	59690	
o̱	55224	
r	49099	
m	41096	
o	35263	
e	34199	
s	33109	
t	31724	
y	31225	
k	31129	
w	28920	
h	24133	
i	20201	
g	15696	
b	14987	
d	14968	
u	11300	
à	7167	only_lower
p	6294	
á	4474	only_lower
z	4400	
c	4376	
j	1745	
é̱	343	only_lower
0	232	
1	84	
ó	84	only_lower
2	65	
4	56	
ú̱	55	only_lower
5	26	
3	18	
6	17	
9	12	
7	10	
8	8	
ó̱	8	only_lower
ò	5	only_lower
ò̱	4	only_lower
è̱	3	only_lower
ì	3	only_lower
é	1	only_lower
í	1	only_lower
ù	1	only_lower
ú	1	only_lower
