cluster	count	casing patterns
a	547494	
i	419877	
n	193335	
u	158002	
ɛ	148461	
l	138082	
ɔ	120859	
b	113232	
r	107414	
d	97386	
ŋ	89236	
k	84151	
e	81963	
w	77087	
h	71680	
g	69900	
m	67158	
z	56996	
s	44220	
o	43353	
t	28622	
p	28301	
y	22722	
f	21823	
c	15455	
j	12828	
á	6049	
í	5099	
v	5073	
à	2767	only_lower
ú	2694	
ì	1204	only_lower
ŋ́	1200	only_lower
ń	1091	
ɔ́	231	only_lower
0	151	
ɛ́	112	only_lower
1	82	
2	76	
5	62	
3	59	
6	51	
4	46	
7	36	
8	27	
9	13	
é	10	only_lower
ŋ̀	8	only_lower
ó	2	only_lower
