cluster	count	casing patterns
n	61410	
y	56257	
k	43488	
ɛ	34337	
t	31752	
p	31706	
ɔ	28023	only_lower
s	27767	
l	27353	
h	22019	only_lower
é	21327	
i	19952	only_lower
m	19051	
ɩ	15425	only_lower
á	15271	
e	14294	
a	13682	
w	13258	
à	9509	
ɩ́	9016	only_lower
ɔ́	8927	only_lower
ǹ	8508	
b	8491	
è	8174	only_lower
ó	6745	only_lower
g	6583	
ɛ́	6569	only_lower
r	6533	only_lower
d	6299	
u	6063	only_lower
o	6033	only_lower
õ	5789	only_lower
ɛ̃	5496	
ɛ̂	5337	only_lower
õ̀	5245	only_lower
ú	4923	only_lower
ń	4585	
í	4514	only_lower
ɔ̃	4473	only_lower
ɛ̃̀	3670	
v	3586	
ɛ̃́	3327	only_lower
f	3282	
ĩ́	2736	only_lower
ɩ̀	2603	only_lower
ã	2033	only_lower
ì	1771	only_lower
ɔ̀	1734	only_lower
ǎ	1605	
ù	1564	only_lower
ĩ	1511	only_lower
ò	1499	only_lower
ɔ̃́	1479	
ɩ̃	1371	only_lower
ɛ̀	1276	only_lower
ã́	879	only_lower
ṍ	873	only_lower
ã̀	716	only_lower
â	712	only_lower
ɔ̌	646	only_lower
ĩ̀	631	only_lower
ê	533	only_lower
ĩ̂	527	only_lower
ɛ̃̂	518	only_lower
ɩ̃́	518	only_lower
ṹ	378	only_lower
ũ	371	only_lower
ɔ̂	306	only_lower
ɩ̂	294	only_lower
û	259	only_lower
ɔ̃̀	236	
ě	231	only_lower
î	223	only_lower
ô	203	only_lower
ã̂	202	only_lower
õ̂	152	only_lower
ǐ	119	only_lower
ũ̂	87	only_lower
ǒ	73	only_lower
ẽ̂	65	only_lower
0	56	
ɛ̌	49	only_lower
ɔ̃̌	44	only_lower
ɩ̃̂	42	only_lower
ɩ̃̀	41	only_lower
ũ̀	36	
1	21	
ɛ̃̌	16	only_lower
õ̌	13	only_lower
2	12	
ẽ́	12	only_lower
5	11	
3	8	
4	8	
ã̌	8	only_lower
ũ̌	6	only_lower
8	5	
ĩ̌	4	only_lower
ɔ̃̂	4	only_lower
ẽ	3	only_lower
7	2	
9	2	
ẽ̌	2	only_lower
ǔ	2	only_lower
ɩ̃̌	2	only_lower
6	1	
ň	1	only_lower
