cluster	count	casing patterns
ନ୍	34550	
ଆ	29057	
କା	20450	
ଏ	17596	
ମା	16858	
ସ୍	16848	
ର୍‌	16621	
ର୍	14900	
କି	10886	
ରା	10738	
ନା	10150	
ରୁ	9714	
ଲା	9521	
ବା	9152	
ନି	9096	
ସ୍‌	8674	
ଙ୍	8555	
ରି	7705	
ଦ୍	7689	
ଘି	7683	
ଇ	7552	
ଚା	7286	
ତା	7144	
ପା	6639	
ଦା	6353	
ୟା	6349	
ନୁ	6320	
ଗେ	6291	
ତି	5903	
ଗା	5217	
ତ୍‌	4976	
ହା	4830	
ବ	4784	
ନେ	4773	
କେ	4687	
ମ୍	4603	
ବ୍	4290	
ତ୍	4271	
ଡ଼ା	4103	
ମେ	4012	
ଅ	4009	
ଶ୍	3968	
ଜା	3929	
ମ୍‌	3864	
ନ୍‌	3859	
ଲେ	3764	
କ୍	3706	
ଲି	3653	
ଲ୍‌	3649	
ଚି	3562	
ବି	3503	
ତେ	3444	
ସା	3367	
ୱା	3323	
ହି	3020	
ଉ	2989	
ଖା	2967	
ର	2896	
ଶୁ	2890	
ସି	2889	
ଘା	2763	
ଦ୍‌	2730	
ଚ୍‌	2679	
ମ	2670	
କ	2633	
ଦେ	2632	
ଯୀ	2562	
ହ୍	2492	
ଖ୍	2491	
ଲ୍	2421	
ହୁ	2397	
ଦୁ	2288	
ଣ୍	2111	
ଗି	1928	
ସ	1886	
ଜ	1861	
ପ୍	1840	
ହ	1824	
ଟା	1778	
ଚ୍	1722	
ରୀ	1711	
ଦି	1707	
ବୁ	1626	
ଗ୍	1611	
ମୁ	1558	
ମି	1489	
ୟ	1463	
ଆଁ	1455	
ଥା	1421	
ହେ	1406	
କୁ	1392	
ଖୁ	1352	
ପ	1304	
ଗ୍‌	1279	
ତୁ	1207	
ଭା	1179	
ନ	1178	
ହ୍‌	1161	
ଶା	1090	
ଯେ	1069	
ଚ	1060	
ପୁ	1046	
ଡ଼୍‌	1006	
ଚେ	1002	
ଗୁ	992	
ଭୁ	992	
ତ	974	
ରୋ	962	
କ୍‌	959	
ବେ	937	
ଜୀ	909	
ଜ୍	877	
ଖ	860	
ରେ	824	
ଧା	803	
ଗ	791	
ଜ୍‌	742	
ଖ୍‌	691	
ଲୀ	686	
ପ୍‌	677	
ଲ	666	
ଦୀ	651	
ଵା	643	
ଲୁ	635	
ଦ	631	
ଭି	621	
ଯ	610	
ଯୋ	603	
ଛ୍‌	596	
ସୁ	591	
ଠି	583	
ସୀ	574	
ଟ୍	572	
ଶ	569	
ଡ୍	563	
ଷ୍	542	
ଛା	534	
ଶି	513	
ଫା	500	
ଧି	496	
ଣା	491	
ଘ୍‌	462	
ଡା	461	
ସେ	458	
କୋ	455	
ଡ଼ି	453	
ସୋ	453	
ଖି	448	
ଶ୍‌	447	
ଲୋ	414	
ଜି	410	
ପି	383	
କାଁ	377	
ବ୍‌	368	
ଟ୍‌	367	
