cluster	count	casing patterns
a	150842	
ɩ	108163	
n	89506	
ʋ	56699	only_lower
m	47184	
t	41985	
b	36015	
w	35555	
i	33777	only_lower
d	33287	
k	29304	
o	27236	
y	21847	
r	21025	
l	20878	
ɔ	18455	only_lower
ɛ	17031	
ŋ	16877	
ǝ	16545	only_lower
g	15851	
u	15034	only_lower
s	13975	
e	13722	
z	13286	
p	9308	
j	6793	
á	6748	
c	4491	
ɩ́	3327	only_lower
v	3318	
ʋ́	2599	only_lower
f	2562	
0	181	
1	167	
h	133	
ó	108	only_lower
2	89	
3	50	
4	49	
5	38	
ń	26	only_lower
6	25	
8	21	
7	16	
9	16	
ɔ́	13	only_lower
