cluster	count
ङ	28415
ला	27242
ति	16572
प	16483
ङ्‍	15983
की	15176
यि	13860
क	13629
क्‍	13527
न	12287
सि	10806
या	10375
नी	10086
वा	9528
मा	9440
ये	9274
सु	8465
न्‍	7948
रा	7787
तु	7477
वी	6947
ती	6303
ता	6290
छ्‍	6061
ते	5914
यो	5579
ख्‍	5564
कि	5503
म्‍	5280
त	5232
को	4923
म	4856
वु	4856
मी	4719
च्‍	4683
ज्‍	4274
यु	4132
सा	4068
खो	4018
ने	3960
ल्‍	3928
र	3924
पा	3858
र्	3619
ना	3576
प्‍	3399
य	3365
री	3207
वो	3175
रु	3012
ङे	2982
मु	2954
मि	2926
ल	2867
से	2821
गु	2817
थो	2767
बु	2749
पु	2694
का	2669
बा	2554
दे	2550
नो	2470
लु	2446
ग्‍	2443
शू	2396
दा	2336
पे	2172
वे	2144
दी	2111
दु	2079
दो	2076
के	2054
लो	1921
स	1863
यी	1827
रो	1813
गो	1749
मे	1593
मो	1555
गि	1549
ले	1537
तो	1527
थु	1427
टि	1359
टे	1320
कु	1318
ट	1295
रि	1239
गा	1232
हा	1184
जो	1129
चो	1117
दि	1098
ह	1024
पी	972
लि	917
रे	876
हू	865
खा	842
ख्	833
टा	827
ष्‍	821
ओ	816
चा	803
शे	794
ख	756
फे	736
सी	727
अ	721
ग	715
ज	703
शि	703
ङा	696
छा	687
जा	674
ठि	652
जी	642
श	631
शी	623
छे	620
इ	596
डे	579
ब	579
थे	567
बि	559
थ	556
डो	526
जे	522
व	505
खु	496
नु	494
शा	491
सो	489
चु	477
च	475
शु	454
ङो	451
छो	442
ङी	438
डि	426
आ	423
था	408
चे	401
जु	398
जि	395
गी	357
टु	354
टो	354
फ	351
हो	346
त्	341
पि	338
ब्‍	333
गे	332
पो	325
बी	325
द	322
र्‍	321
ए	320
कै	293
चि	280
शो	263
ली	257
स्‍	257
ठ	225
हे	221
यू	218
रू	216
नि	215
ड	203
क्	202
फि	188
डु	182
बे	172
उ	157
बो	156
ठे	148
ब्	143
फु	142
शै	139
च्	130
ऊ	125
ङु	119
स्	115
फो	114
हु	108
डा	101
छ्‌	99
कू	93
छ	90
ल्	90
थि	84
फा	84
थ्‍	83
टी	74
ङ्	68
ग्	65
छु	56
ठा	54
डी	54
थी	51
ठो	50
छि	45
खि	41
श्	40
प्	39
हि	36
काँ	34
ची	33
खाँ	32
जै	32
वि	29
ङि्‍	26
न्	26
म्	23
ठी	22
ज्	18
ठु	17
द्	17
अं	16
खै	15
१	15
फ्	13
लू	12
०	12
४	9
दै	8
नै	8
ई	7
ड्	7
लौ	7
ङ्‌	6
ड्‍	6
भ	6
मै	6
सं	6
२	6
३	6
घ	5
ण्‍	5
खे	4
छी	4
पौ	4
फी	4
रौ	4
शां	4
श्‍	4
णि	3
मू	3
५	3
६	3
किं	2
गै	2
ङि	2
जू	2
जौ	2
तू	2
थ्	2
ध	2
व्‍	2
ष	2
७	2
८	2
कौ	1
झो	1
ट्	1
त्‍	1
ध्‍	1
फ्‍	1
बू	1
भा	1
भु	1
मिं	1
य्‍	1
सिं	1
ही	1
