cluster	count	casing patterns
a	132427	
i	73063	
k	54594	
r	52602	
ɓ	52283	
n	48713	
u	45325	
e	42444	
y	35857	
l	34195	
o	32632	
m	30095	
á	29626	
ɛ	29062	
z	28404	
ɗ	25068	
w	19277	
s	18471	
b	17509	
ŋ	16001	
t	15177	
h	14797	
ɔ	14110	only_lower
a̰	12941	only_lower
ì	10256	
f	10178	
g	9634	
ḭ	9256	only_lower
d	8115	
p	7977	
ṵ	6157	only_lower
í	5506	
v	4250	
ù	2864	only_lower
ú	1617	
ɔ́	1479	
ʼ	1244	
ǎ	1240	only_lower
é	1220	only_lower
á̰	840	
ḭ́	596	only_lower
ḭ̀	356	only_lower
ṵ́	224	
o̰	196	only_lower
ǔ	194	only_lower
ó	176	only_lower
ɔ̀	160	only_lower
ǐ	145	only_lower
ǒ	113	only_lower
0	109	
ɛ́	108	only_lower
ḭ̌	101	
ɛ̰	73	only_lower
ṵ̌	70	only_lower
ǎ̰	64	only_lower
ɔ̌	49	only_lower
à	32	only_lower
ɔ̰	29	only_lower
ɛ̌	26	only_lower
1	24	
2	21	
4	14	
ě	14	only_lower
ɔ̰́	9	only_lower
5	7	
ṵ̀	6	only_upper
6	5	
3	4	
à̰	4	only_lower
7	3	
ɛ̀	1	only_lower
ɛ̰̌	1	only_lower
